,formula,k_expt
0,BeS,157.0
1,CdS,19.9
2,GaN,181.0
3,ZnO,64.5
4,ZnSe,15.6
5,BAs,2940.0
6,ZnO,64.5
7,BeO,447.0
8,GaAs,32.1
9,SiC,372.0
10,ZnS,36.5
11,GaP,104.0
12,BeO,447.0
13,InAs,25.2
14,CuBr,2.75
15,InP,85.2
16,ZnTe,18.9
17,CuI,7.1
18,CuI,7.1
19,GaSb,32.5
20,MgTe,14.7
21,CuCl,1.26
22,AlSb,77.4
23,GaN,181.0
24,AgI,2.44
25,AlN,235.0
26,AlP,84.0
27,InSb,13.8
28,BeTe,90.4
29,CdTe,6.67
30,CdSe,11.4
31,CuCl,1.26
32,CdS,19.9
33,BP,420.0
34,SiC,372.0
35,BeSe,108.0
36,AlN,235.0
37,CuH,14.4
38,CuBr,2.75
39,InN,105.0
40,AgI,2.44
41,AlAs,86.8
44,Bi2Te3,4.016716418
46,Bi1.2S1.2Ti2S4,2.94
47,Ba0.4Sr0.6PbO3,2.2948
49,Mg2Si0.997Bi0.003,6.16
52,KBi6.33S10,1.3
55,In0.2Co4Sb12,2.4757700000000002
58,Tl2GeTe5,9.07
60,Mo3Te4,3.81187
61,SrDy0.08Ti0.92O3,4.195
65,In1.994Ge0.006O3,9.71545
71,WO2.9,3.0834
72,SrNd0.2Ti0.8O3,5.53
76,TiNiSn,6.0761
78,Fe1.96Ti0.04O3,7.82
80,Ti0.99Nb0.01NiSn,6.8928
84,CeFe3CoSb12,1.91
86,Mg2Si0.994Bi0.006,6.55
106,WO2.722,8.177
109,Tl9BiTe6,0.48100000000000004
117,Tl2SnTe5,5.09
118,NaCo2O4,1.9040000000000001
121,Tl2SnTe5,6.75
122,In0.1Co4Sb12,2.18825
123,CaMnO3,3.56184
124,In1.94Ge0.06O3,8.86791
132,Mo6Te7S,2.7730099999999998
133,CuCr0.98Mg0.02O2,7.5581
135,Cu4.0Mo6S8,1.3479
140,Ca2.97Na0.03AlSb3,1.67
145,Fe1.3Mo6S8,1.4885
146,Ca5Al2Sb6,1.54
149,K2Bi8Se13,1.2851700000000001
157,Ca0.9Bi0.1MnO3,3.5909
159,Sr0.9La0.1TiO3,5.88
165,Ca0.9Ho0.1MnO3,1.637290898
168,Ba8Au6.10Si38.97,2.18
169,ZrNi1.98Cu0.02Sn,7.98
176,AgCrSe2,0.956
177,Sr0.145Ga0.302Ge0.553,0.81
178,CeFe4Sb12,1.55
185,Sn1.2S1.2Ti2S4,2.66
191,Mg2Si0.9985Bi0.0015,7.08
192,CaGd0.96Mn0.04O3,1.78652
198,CaYb0.05Mn0.95O3,1.4902799999999998
199,La0.98Sr0.02CoO3,1.8
200,Ba8Ga16Ge30,1.94
202,CuCr0.95Mg0.05O2,9.5221
206,ZrNi0.76Co0.004Cu0.2Sn,6.02
221,La3Te3.35Bi0.65,1.9669999999999999
223,Zn4Sb3,0.7829999999999999
234,Ca2Co2O5,2.3
236,Ca2.94Na0.06AlSb3,1.65
238,Sr2Ti0.8Nb0.2O4,4.37
240,Zn4Sb3,0.77
243,NbCo1.05Sn,6.8867199999999995
245,Ca2.7Bi0.3Co4O9,2.0
247,Sm0.5Ca0.5MnO3,1.9
248,La0.99Sr0.01CoO3,1.807
250,In2O3,9.6695
255,CaYb0.15Mn0.85O3,1.64488
257,In1.8Ge0.2O3,3.23848
258,Mo6Te6S2,2.1249599999999997
259,Ba8Ga16Ge30,1.7
261,Ca0.7Y0.3MnO3,1.793253904
268,Sb2Te3,5.205245902
269,Ca0.98Bi0.02Mn0.98Nb0.02O3,2.51281
272,Ti0.98Nb0.02NiSn,7.4261
277,In0.2Co4Sb12,2.5704700000000003
279,Bi2Te3,1.468195804
282,In1.998Ge0.002O3,9.1565
286,Cu1.98Se,1.25
287,Mg1.9Ca0.1Si,5.2
307,Pb0.98TeNa0.02,4.29
309,Sr4.5Nb4.5O15.5,2.45
312,NbCoSn,6.904439999999999
315,Zr0.5Hf0.5NiSn,4.087
316,Ag9TlTe5,0.2
317,Nd2Cu0.98Ni0.02O4,9.811
321,Sb0.005I0.015Cs0.995Bi3.98Te5.97,1.5
322,LaFe3CoSb12,1.6
327,Zr0.15Hf0.15Ti0.7NiSn,3.3939999999999997
330,Zr0.94Y0.06NiSn0.96Sb0.04,8.35
333,Mg2Si,4.5
334,Ba8Au5.14Si39.51,1.86
340,Nd2CuO4,29.6
343,In0.25Co4Sb12,2.5585299999999997
345,SrNb0.15Ti0.85O3,5.88
347,Zn0.99Al0.01O,44.495
348,La0.8Sr0.2CoO3,3.69579
354,Na0.02Pb0.98Te0.85Se0.15,3.0142900000000004
361,Ca2.85Na0.15AlSb3,1.59
362,Mg2Si,7.25
363,Tl0.02Pb0.98Te,2.16832
365,Fe0.998Co0.002Si2,5.69
367,SrTi0.8Nb0.2O3,7.96
373,Zn0.95Al0.05O,34.5
374,Zn0.995Al0.005O,44.495
379,Sr0.61Ba0.39Nb2O6,1.6669999999999998
