,material_id,formula,nsites,space_group,volume,structure,band_gap,e_electronic,e_total,n,poly_electronic,poly_total,pot_ferroelectric
0,mp-441,Rb2Te,3,225,159.501207678,"Full Formula (Rb2 Te1)
Reduced Formula: Rb2Te
abc   :   6.087322   6.087322   6.087323
angles:  60.000003  60.000002  59.999999
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Rb    0.25  0.25  0.25
  1  Rb    0.75  0.75  0.75
  2  Te    0     0     0",1.88,"[[3.44115795, -3.097e-05, -6.276e-05], [-2.837e-05, 3.44128161, 5.5990000000000004e-05], [-6.005e-05, 5.293e-05, 3.44131853]]","[[6.23414745, -0.00035252, -9.796e-05], [-0.00034992, 6.235412869999999, 2.480999999999999e-05], [-9.525000000000001e-05, 2.175e-05, 6.23520681]]",1.86,3.44,6.23,False
1,mp-22881,CdCl2,3,166,84.2980965532,"Full Formula (Cd1 Cl2)
Reduced Formula: CdCl2
abc   :   6.710024   6.710024   6.710023
angles:  34.019895  34.019897  34.019896
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Cd    0         0         0
  1  Cl    0.742279  0.742279  0.742279
  2  Cl    0.257721  0.257721  0.257721",3.52,"[[3.34688382, -0.04498543, -0.22379197], [-0.04498625, 3.39185804, -0.13832825], [-0.22379126, -0.13832396, 2.73154536]]","[[7.97018673, -0.29423886, -1.463590159999999], [-0.29423968, 8.2643336, -0.90466431], [-1.46358945, -0.90466002, 3.94536626]]",1.78,3.16,6.73,False
2,mp-28013,MnI2,3,164,108.33587516899999,"Full Formula (Mn1 I2)
Reduced Formula: MnI2
abc   :   4.158086   4.158086   7.235270
angles:  90.000000  90.000000 120.000001
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Mn    0         0         0
  1  I     0.333333  0.666667  0.229453
  2  I     0.666667  0.333333  0.770547",1.17,"[[5.5430849, -5.28e-06, -2.5030000000000003e-05], [4.9e-07, 5.54307686, 0.00025381], [1.1699999999999998e-06, 0.00025233, 3.83815306]]","[[13.80606079, 0.0006911900000000001, 9.655e-05], [0.00069696, 13.805466039999999, 0.00044351], [0.00012275, 0.00044203, 4.3156814699999995]]",2.23,4.97,10.64,False
3,mp-567290,LaN,4,186,88.162562026,"Full Formula (La2 N2)
Reduced Formula: LaN
abc   :   4.132865   4.132865   5.960067
angles:  90.000000  90.000000 119.999995
Sites (4)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  La    0.333333  0.666667  0.998741
  1  La    0.666667  0.333333  0.498741
  2  N     0.333333  0.666667  0.411259
  3  N     0.666667  0.333333  0.911259",1.12,"[[7.09316738, 7.99e-06, -0.00038647000000000003], [1.5040000000000002e-05, 7.09303473, 0.001517], [0.00038732, -0.00150797, 6.92254522]]","[[16.79535386, 8.199999999999997e-07, -0.009481990000000001], [7.870000000000001e-06, 16.78672965, 0.02064269], [-0.0087082, 0.01761772, 20.39664319]]",2.65,7.04,17.99,False
4,mp-560902,MnF2,6,136,82.8264012678,"Full Formula (Mn2 F4)
Reduced Formula: MnF2
abc   :   3.354588   4.968952   4.968952
angles:  90.000000  90.000000  90.000000
Sites (6)
  #  SP      a         b         c
---  ----  ---  --------  --------
  0  Mn    0.5  0.5       0.5
  1  Mn    0    0         0
  2  F     0    0.694853  0.694853
  3  F     0.5  0.805147  0.194853
  4  F     0    0.305147  0.305147
  5  F     0.5  0.194853  0.805147",2.87,"[[2.4239622, 7.452000000000001e-05, 6.0610000000000004e-05], [-8.113e-05, 2.3167874299999998, -0.00039517], [1.9390000000000002e-05, 0.00058001, 2.3173875]]","[[6.44055613, 0.0020446600000000002, 0.00132036], [0.00188901, 7.4566958, 0.01344158], [0.00127914, 0.01441676, 7.45912367]]",1.53,2.35,7.12,False
5,mp-22894,AgI,4,186,146.31155269299998,"Full Formula (Ag2 I2)
Reduced Formula: AgI
abc   :   4.710585   4.710585   7.613745
angles:  90.000000  90.000000 119.999996
Sites (4)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ag    0.333333  0.666667  0.000219
  1  Ag    0.666667  0.333333  0.500219
  2  I     0.333333  0.666667  0.379681
  3  I     0.666667  0.333333  0.879681",1.4,"[[4.97423164, -6e-07, 7.773e-05], [5.29e-06, 4.97420789, -0.00017946], [-7.209e-05, 0.00019284, 4.94785982]]","[[7.04163766, 0.00030435, 0.00360539], [0.00031024000000000004, 7.041300529999999, -0.010255470000000001], [0.0034555700000000003, -0.00988317, 7.398925289999999]]",2.23,4.97,7.16,False
6,mp-1747,K2Te,3,225,139.467818426,"Full Formula (K2 Te1)
Reduced Formula: K2Te
abc   :   5.820983   5.820983   5.820983
angles:  60.000005  60.000004  60.000004
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  K     0.25  0.25  0.25
  1  K     0.75  0.75  0.75
  2  Te    0     0     0",2.14,"[[3.47487635, -0.00015064, -0.00011096000000000001], [-0.00015103, 3.47491652, 0.00017554000000000002], [-0.00010451, 0.00017761, 3.47495636]]","[[6.21204137, 0.00042317999999900004, -0.00010815], [0.000422789999999, 6.21936736, 0.00015584], [-0.00010169999999999999, 0.00015791, 6.227013980000001]]",1.86,3.47,6.22,False
7,mp-971,K2O,3,225,68.26890106729999,"Full Formula (K2 O1)
Reduced Formula: K2O
abc   :   4.587534   4.587534   4.587534
angles:  60.000001  60.000000  60.000001
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  K     0.75  0.75  0.75
  1  K     0.25  0.25  0.25
  2  O     0     0     0",1.71,"[[3.1819309, 0.00017463, 4.5980000000000004e-05], [0.00017262, 3.18189117, 0.0002115], [4.487e-05, 0.00021071, 3.18180677]]","[[9.24902808, 0.0034223699999990005, 0.00099949], [0.00342036, 9.2315294, 0.0007400600000000001], [0.000998379999999, 0.00073927, 9.24179414]]",1.78,3.18,9.24,False
8,mp-1500,BaS,2,225,67.3095882287,"Full Formula (Ba1 S1)
Reduced Formula: BaS
abc   :   4.565944   4.565944   4.565945
angles:  60.000003  60.000003  59.999998
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Ba    0    0    0
  1  S     0.5  0.5  0.5",2.15,"[[4.80586842, -4.3799999999999996e-06, 8.4e-07], [-5.34e-06, 4.8058769, 5.2e-07], [9.1e-07, 5.3e-07, 4.80586688]]","[[14.953870760000001, 0.00043241, -3.427e-05], [0.00043145, 14.952956620000002, -3.485e-05], [-3.4200000000000005e-05, -3.4840000000000005e-05, 14.95230974]]",2.19,4.81,14.95,False
9,mp-2784,Na2Te,3,225,98.597229912,"Full Formula (Na2 Te1)
Reduced Formula: Na2Te
abc   :   5.185532   5.185531   5.185531
angles:  59.999994  59.999998  59.999995
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Na    0.25  0.25  0.25
  1  Na    0.75  0.75  0.75
  2  Te    0     0     0",2.02,"[[4.32264356, 7.599999999999999e-07, -0.00022981], [2.033e-05, 4.32254339, -0.00024934], [-0.0002681, -0.00016218, 4.3224396]]","[[7.88553518, -0.00016973999999900002, -0.0006693900000000001], [-0.00015017, 7.88495525, -0.00062042], [-0.00070768, -0.00053326, 7.88428045]]",2.08,4.32,7.88,False
