,formula,a_1,b_1,a_2,b_2,gap gllbsc
0,AgNbLaAlO6,Ag,Nb,La,Al,4.1645432
1,AgNbLaGaO6,Ag,Nb,La,Ga,4.454628775
2,AgNbLaInO6,Ag,Nb,La,In,4.192522296
3,AgNbMgTiO6,Ag,Nb,Mg,Ti,3.963856895
4,AgNbSnTiO6,Ag,Nb,Sn,Ti,2.881239408
5,AgNbYAlO6,Ag,Nb,Y,Al,3.958215489
6,AgTaAgNbO6,Ag,Ta,Ag,Nb,3.367340076
7,AgTaBaSnO6,Ag,Ta,Ba,Sn,4.115527804
8,AgTaBaTiO6,Ag,Ta,Ba,Ti,3.65187538
9,AgTaCaGeO6,Ag,Ta,Ca,Ge,4.596741977
10,AgTaCaSiO6,Ag,Ta,Ca,Si,4.787204683
11,AgTaCaSnO6,Ag,Ta,Ca,Sn,4.567418298
12,AgTaCaTiO6,Ag,Ta,Ca,Ti,3.856408782
13,AgTaCsNbO6,Ag,Ta,Cs,Nb,3.257419299
14,AgTaCsVO6,Ag,Ta,Cs,V,2.169553701
15,AgTaGaNbO6,Ag,Ta,Ga,Nb,1.784718332
16,AgTaGaTaO6,Ag,Ta,Ga,Ta,2.285462409
17,AgTaKNbO6,Ag,Ta,K,Nb,3.43280078
18,AgTaKSbO6,Ag,Ta,K,Sb,4.253437286
19,AgTaLaAlO6,Ag,Ta,La,Al,4.544527043
20,AgTaLaGaO6,Ag,Ta,La,Ga,4.428479438
21,AgTaLaInO6,Ag,Ta,La,In,4.598427211
22,AgTaLiNbO6,Ag,Ta,Li,Nb,3.554350261
23,AgTaLiVO6,Ag,Ta,Li,V,1.661856626
24,AgTaMgTiO6,Ag,Ta,Mg,Ti,4.541470588
25,AgTaNaNbO6,Ag,Ta,Na,Nb,3.523501827
26,AgTaNaSbO6,Ag,Ta,Na,Sb,4.383274568
27,AgTaNaVO6,Ag,Ta,Na,V,1.67087028
28,AgTaPbHfO6,Ag,Ta,Pb,Hf,4.468824182
29,AgTaPbTiO6,Ag,Ta,Pb,Ti,3.806312329
30,AgTaPbZrO6,Ag,Ta,Pb,Zr,4.43593134
31,AgTaRbNbO6,Ag,Ta,Rb,Nb,3.372019754
32,AgTaSnHfO6,Ag,Ta,Sn,Hf,3.676099376
33,AgTaSnTiO6,Ag,Ta,Sn,Ti,3.280047217
34,AgTaSnZrO6,Ag,Ta,Sn,Zr,3.671961049
