,formula,pearson symbol,space group,mpid,oqmdid,e_form expt,e_form mp,e_form oqmd
0,ScAg2,tI6,I4/mmm,mp-1018128,27633.0,-0.2809,-0.30212525,-0.30750919
1,ScAg,cP2,Pm-3m,mp-11237,10665.0,-0.2715,-0.27875396,-0.28691687
2,Ag51Y14,hP68,P6/m,,,-0.2301,,
3,YAg,cP2,Pm-3m,mp-2474,10681.0,-0.2778,-0.33641916,-0.34309354
4,Ag51La14,hP68,P6/m,,,-0.2218,,
5,LaAg,cP2,Pm-3m,mp-1948,10639.0,-0.1752,-0.26173778,-0.26489469
6,Ag51Ce14,hP68,P6/m,,,-0.2,,
7,CeAg,cP2,Pm-3m,mp-2756,10361.0,-0.1399,-0.03966432,-0.24419368
8,Ag51Pr14,hP68,P6/m,,,-0.22899999999999998,,
9,PrAg,cP2,Pm-3m,mp-2525,10662.0,-0.2529,-0.24710848,-0.25770733
10,Ag51Nd14,hP68,P6/m,,,-0.1834,,
11,NdAg,cP2,Pm-3m,mp-1236,10660.0,-0.2052,-0.25934894,-0.26962121
12,ZrAg,tP4,P4/nmm,mp-11239,10690.0,-0.0323,-0.12296924,-0.12506091
13,Zr2Ag,tI6,I4/mmm,mp-2221,10691.0,-0.0152,-0.10909721,-0.11036623
14,HfAg,tP4,P4/nmm,mp-13156,20652.0,-0.1113,-0.11973231,-0.11913138
15,Al0.67Ni0.17Y0.16,oC24,Cmcm,,,-0.5597,,
16,YAl2Ni,oS16,Cmcm,mp-13094,10532.0,-0.6509,-0.64821439,-0.65212275
17,Al0.18Ni0.55Y0.27,cI44,Im-3m,,,-0.5027,,
18,Al0.8Ni0.15Y0.05,,Cmcm,,,-0.37,,
19,Al0.6Ni0.07Y0.33,cF24,Fd-3m,,,-0.5877,,
20,YAlNi,hP9,P-62m,mp-13095,27924.0,-0.5607,-0.59861675,-0.60450311
21,YAl3Ni2,hP18,P6/mmm,mp-5063,647439.0,-0.6509,-0.65817815,-0.66654722
22,Al0.25Ni0.58Y0.17,hP6,P6/mmm,,,-0.5006,,
23,Al0.15Ni0.68Y0.17,hP6,P6/mmm,,,-0.4902,,
24,Al0.05Ni0.78Y0.17,hP6,P6/mmm,,,-0.3746,,
25,Al0.08Ni0.67Y0.25,hP24,P63/mmc,,,-0.3928,,
26,HfAlNi2,cF16,Fm-3m,mp-5748,10473.0,-0.6032,-0.63745526,-0.64536214
27,Al0.82Fe0.09Ni0.09,mP22,P121/c1,,,-0.2674,,
28,Al0.72Fe0.14Ni0.14,,,,,-0.3804,,
29,Al0.18Fe0.07Ni0.75,cP4,Pm-3m,,,-0.2933,,
30,AlFe2Ni,cP2,Pm-3m,,,-0.2892,,
31,AlFeNi2,cP2,Pm-3m,,,-0.3171,,
32,Al3Fe3Ni4,cP2,Pm-3m,,,-0.3545,,
33,Al0.33Fe0.57Ni0.1,cP2,Pm-3m,,,-0.256,,
34,Al2Fe3Ni,cP2,Pm-3m,,,-0.3348,,
35,AlFeNi,cP2,Pm-3m,,,-0.4084,,
36,Al3Fe2Ni4,cP2,Pm-3m,,,-0.42700000000000005,,
37,Al2FeNi3,cP2,Pm-3m,,,-0.4301,,
38,Al0.33Fe0.1Ni0.57,cP2,Pm-3m,,,-0.45399999999999996,,
39,Al4Fe5Ni,cP2,Pm-3m,,,-0.2933,,
40,Al2Fe2Ni,cP2,Pm-3m,,,-0.3399,,
41,Al4Fe3Ni3,cP2,Pm-3m,,,-0.3669,,
42,Al2FeNi2,cP2,Pm-3m,,,-0.4436,,
43,Al4FeNi5,cP2,Pm-3m,,,-0.5058,,
44,Al5Fe4Ni,cP2,Pm-3m,,,-0.3089,,
45,Al2FeNi,cP2,Pm-3m,,,-0.4612,,
46,Al5FeNi4,cP2,Pm-3m,,,-0.4944,,
47,AlFe2,cP2,Pm-3m,,,-0.2301,,
48,Al2Fe3,cP2,Pm-3m,,,-0.2684,,
49,AlFe,cP2,Pm-3m,mp-2658,54708.0,-0.2747,-0.33204742,-0.33175568
50,AlNbNi,hP12,P63/mmc,,,-0.4239,,
51,NbAlNi2,cF16,Fm-3m,mp-4813,10512.0,-0.4001,-0.42826975,-0.44036077
52,Al0.27Nb0.33Ni0.4,hP12,P63/mmc,,,-0.4052,,
53,Al0.4Nb0.33Ni0.2,hP12,P63/mmc,,,-0.4788,,
54,Al0.2Nb0.04Ni0.76,cP4,Pm-3m,,,-0.2943,,
55,Al0.45Ni0.45Ru0.1,cP2,Pm-3m,,,-0.5752,,
56,Al2Ni2Ru,cP2,Pm-3m,,,-0.5349,,
57,Al5NiRu4,cP2,Pm-3m,,,-0.6426,,
58,Al5Ni2Ru3,cP2,Pm-3m,,,-0.6544,,
59,Al5Ni4Ru,cP2,Pm-3m,,,-0.5794,,
60,Al5Ni3Ru2,cP2,Pm-3m,,,-0.6374,,
61,Al0.45Ni0.1Ru0.45,cP2,Pm-3m,,,-0.5816,,
62,Al0.45Ni0.35Ru0.2,cP2,Pm-3m,,,-0.597,,
63,Al0.45Ni0.2Ru0.35,cP2,Pm-3m,,,-0.5896,,
64,Al5CoNi4,cP2,Pm-3m,,,-0.5618,,
65,Al0.5Co0.2Ni0.3,cP2,Pm-3m,,,-0.5479999999999999,,
66,Al0.5Co0.3Ni0.2,cP2,Pm-3m,,,-0.5348,,
67,Al5Co4Ni,cP2,Pm-3m,,,-0.5304,,
68,AlCo,cP2,Pm-3m,mp-284,10411.0,-0.5367,-0.60278819,-0.61034217
69,Al4CoNi5,cP2,Pm-3m,,,-0.479,,
70,Al2CoNi2,cP2,Pm-3m,,,-0.4578,,
71,Al4Co3Ni3,cP2,Pm-3m,,,-0.4382,,
72,Al0.5Co0.05Ni0.45,cP2,Pm-3m,,,-0.6051,,
73,Al2Co2Ni,cP2,Pm-3m,,,-0.4353,,
74,Al4Co5Ni,cP2,Pm-3m,,,-0.4213,,
75,Al2Co3,cP2,Pm-3m,,,-0.3716,,
76,Al0.55Co0.1Ni0.35,cP2,Pm-3m,,,-0.6093,,
77,Al0.52Co0.18Ni0.3,cP2,Pm-3m,,,-0.5539,,
78,Al0.4Co0.05Ni0.55,cP2,Pm-3m,,,-0.486,,
79,Al0.33Co0.2Ni0.47,cP2,Pm-3m,,,-0.3758,,
80,Al0.25Co0.05Ni0.7,cp4,Pm-3m,,,-0.3238,,
81,Al0.71Co0.25Ni0.04,hP28,P63/mmc,,,-0.4208,,
82,AlCo,cP2,Pm-3m,mp-284,10411.0,-0.5535,-0.60278819,-0.61034217
83,AlNi,cP2,Pm-3m,mp-1487,94913.0,-0.6405,-0.65864811,-0.66944636
84,Al0.5Cu0.05Ni0.45,cP2,Pm-3m,,,-0.5815,,
85,Al5CuNi4,cP2,Pm-3m,,,-0.5675,,
86,Al0.5Cu0.15Ni0.35,cP2,Pm-3m,,,-0.426,,
87,Al5Cu2Ni3,cP2,Pm-3m,,,-0.4033,,
