,formula,gfa
0,Ag100,0
1,Al100,0
2,Au100,0
3,B100,0
4,Be100,0
5,Ca1Ag99,0
6,Ca1Al99,0
7,Ca1Cu99,0
8,Ca1Mg99,0
9,Ca10Ag90,0
10,Ca10Al90,1
11,Ca10Cu90,0
12,Ca10Mg90,0
13,Ca100,0
14,Ca11Ag89,0
15,Ca11Al89,1
16,Ca11Cu89,0
17,Ca11Mg89,0
18,Ca12Ag88,0
19,Ca12Al88,0
20,Ca12Cu88,0
21,Ca12Mg88,0
22,Ca13Ag87,0
23,Ca13Al87,0
24,Ca13Cu87,0
25,Ca13Mg87,0
26,Ca14Ag86,0
27,Ca14Al86,0
28,Ca14Cu86,0
29,Ca14Mg86,0
30,Ca15Ag85,0
31,Ca15Al85,0
32,Ca15Cu85,0
33,Ca15Mg85,0
34,Ca16Ag84,0
35,Ca16Al84,0
36,Ca16Cu84,0
37,Ca16Mg84,0
38,Ca17Ag83,0
39,Ca17Al83,0
40,Ca17Cu83,0
41,Ca17Mg83,0
42,Ca18Ag82,0
43,Ca18Al82,0
44,Ca18Cu82,0
45,Ca18Mg82,0
46,Ca19Ag81,0
47,Ca19Al81,0
48,Ca19Cu81,0
49,Ca19Mg81,0
50,Ca2Ag98,0
51,Ca2Al98,0
52,Ca2Cu98,0
53,Ca2Mg98,0
54,Ca20Ag80,0
55,Ca20Al80,0
56,Ca20Cu80,0
57,Ca20Mg80,0
58,Ca21Ag79,0
59,Ca21Al79,0
60,Ca21Cu79,0
61,Ca21Mg79,0
62,Ca22Ag78,0
63,Ca22Al78,0
64,Ca22Cu78,0
65,Ca22Mg78,0
66,Ca23Ag77,0
67,Ca23Al77,0
68,Ca23Cu77,0
69,Ca23Mg77,0
70,Ca24Ag76,0
71,Ca24Al76,0
72,Ca24Cu76,0
73,Ca24Mg76,0
74,Ca25Ag75,0
75,Ca25Al75,0
76,Ca25Cu75,0
77,Ca25Mg75,0
78,Ca26Ag74,0
79,Ca26Al74,0
80,Ca26Cu74,0
81,Ca26Mg74,0
82,Ca27Ag73,0
83,Ca27Al73,0
84,Ca27Cu73,0
85,Ca27Mg73,0
86,Ca28Ag72,0
87,Ca28Al72,0
88,Ca28Cu72,0
89,Ca28Mg72,0
90,Ca29Ag71,0
91,Ca29Al71,0
92,Ca29Cu71,0
93,Ca29Mg71,0
94,Ca3Ag97,0
95,Ca3Al97,0
96,Ca3Cu97,0
97,Ca3Mg97,0
98,Ca30Ag70,0
99,Ca30Al70,0
100,Ca30Cu70,0
101,Ca30Mg70,0
102,Ca31Ag69,0
103,Ca31Al69,0
104,Ca31Cu69,0
105,Ca31Mg69,0
106,Ca32Ag68,0
107,Ca32Al68,0
108,Ca32Cu68,0
109,Ca32Mg68,0
110,Ca33Ag67,0
111,Ca33Al67,0
112,Ca33Cu67,0
113,Ca33Mg67,0
114,Ca34Ag66,0
115,Ca34Al66,0
116,Ca34Cu66,0
117,Ca34Mg66,0
118,Ca35Ag65,0
119,Ca35Al65,0
120,Ca35Cu65,0
121,Ca35Mg65,0
122,Ca36Ag64,0
123,Ca36Al64,0
124,Ca36Cu64,0
125,Ca36Mg64,0
126,Ca37Ag63,0
127,Ca37Al63,0
128,Ca37Cu63,0
129,Ca37Mg63,0
130,Ca38Ag62,0
131,Ca38Al62,0
132,Ca38Cu62,0
133,Ca38Mg62,0
134,Ca39Ag61,0
135,Ca39Al61,0
136,Ca39Cu61,1
137,Ca39Mg61,0
138,Ca4Ag96,0
139,Ca4Al96,0
140,Ca4Cu96,0
141,Ca4Mg96,0
142,Ca40Ag60,0
143,Ca40Al60,0
144,Ca40Cu60,1
145,Ca40Mg60,0
146,Ca41Ag59,0
147,Ca41Al59,0
148,Ca41Cu59,1
149,Ca41Mg59,0
150,Ca42Ag58,0
151,Ca42Al58,0
152,Ca42Cu58,1
153,Ca42Mg58,0
154,Ca43Ag57,0
155,Ca43Al57,0
156,Ca43Cu57,1
157,Ca43Mg57,0
158,Ca44Ag56,0
159,Ca44Al56,0
160,Ca44Cu56,1
161,Ca44Mg56,0
162,Ca45Ag55,0
163,Ca45Al55,0
164,Ca45Cu55,1
165,Ca45Mg55,0
166,Ca46Ag54,0
167,Ca46Al54,0
168,Ca46Cu54,1
169,Ca46Mg54,0
170,Ca47Ag53,0
171,Ca47Al53,0
172,Ca47Cu53,1
173,Ca47Mg53,0
174,Ca48Ag52,0
175,Ca48Al52,0
176,Ca48Cu52,1
177,Ca48Mg52,0
178,Ca49Ag51,0
179,Ca49Al51,0
180,Ca49Cu51,1
181,Ca49Mg51,0
182,Ca5Ag95,0
