,formula,phase,processing,gfa
0,Ag0Cu32Fe68,CR,sputtering,0
1,Ag0Cu54Fe46,CR,sputtering,0
2,Ag0Cu63Fe37,CR,sputtering,0
3,Ag0Cu70Fe30,CR,sputtering,0
4,Ag0Cu71Fe29,CR,sputtering,0
5,Ag0Cu76Fe24,CR,sputtering,0
6,Ag0Cu90Fe10,CR,sputtering,0
7,Ag0Mg75Y25,CR,meltspin,0
8,Ag0Mg80Y20,AC,meltspin,0
9,Ag0Mg84Y16,AM,meltspin,1
10,Ag0Mg87.5Y12.5,AC,meltspin,0
11,Ag0Mg90Y10,CR,meltspin,0
12,Ag0Mg95Y5,CR,meltspin,0
13,Ag0Pd79Si21,AM,meltspin,1
14,Ag0Pd80Si20,AM,meltspin,1
15,Ag0Pd82Si18,AM,meltspin,1
16,Ag0Pd84Si16,AM,meltspin,1
17,Ag0Pd85Si15,AM,meltspin,1
18,Ag1.7Pd81.8Si16.5,AM,meltspin,1
19,Ag10.5Cu80.5P9,AC,meltspin,0
20,Ag10.5Cu81.5P8,AM,meltspin,1
21,Ag10.5Cu81.9P7.6,AM,meltspin,1
22,Ag10.5Cu82.5P7,AM,meltspin,1
23,Ag10Ce10Cu80,AM,meltspin,1
24,Ag10Ce3Cu87,CR,meltspin,0
25,Ag10Ce5Cu85,CR,meltspin,0
26,Ag10Ce6Cu84,CR,meltspin,1
27,Ag10Mg50Y40,AC,meltspin,0
28,Ag10Mg60Y30,AM,meltspin,1
29,Ag10Mg70Y20,AM,meltspin,1
30,Ag10Mg80Y10,AM,meltspin,1
31,Ag10Mg85Y5,AC,meltspin,0
32,Ag10Pd73.5Si16.5,AM,meltspin,1
33,Ag11Cu38Fe51,CR,sputtering,0
34,Ag12.2Cu80.3P7.5,AM,meltspin,1
35,Ag12.2Cu80.8P7,AM,meltspin,1
36,Ag12.2Cu81.5P6.3,AC,meltspin,0
37,Ag12.5Pd71Si16.5,AM,meltspin,1
38,Ag13Cu32Fe55,CR,sputtering,0
39,Ag14Cu78.5P7.5,AC,meltspin,0
40,Ag15Al10Mg75,AM,meltspin,1
41,Ag15Ce4Cu81,CR,meltspin,0
42,Ag15Ce6Cu79,AM,meltspin,1
43,Ag15Cu49Fe36,CR,sputtering,0
44,Ag15Cu83Fe2,CR,sputtering,0
