,formula,heusler type,num_electron,struct type,latt const,tetragonality,e_form,pol fermi,mu_b,mu_b saturation
0,V2ScAl,Full Heusler,16,D022,5.49,1.561,0.046,0.1,0.0002,0.03
1,V2ScGa,Full Heusler,16,D022,5.43,1.5893,-0.013999999999999999,36.93,0.1775,25.88
2,V2ScIn,Full Heusler,16,D022,5.66,1.5583,0.191,34.28,0.1624,21.32
3,V2ScSi,Full Heusler,17,D022,5.34,1.5993,-0.122,19.59,0.6638,101.12
4,V2ScGe,Full Heusler,17,D022,5.39,1.6104,-0.087,10.09,0.7492,110.21
5,V2ScSn,Full Heusler,17,D022,5.66,1.5565,0.032,45.39,1.0025,131.77
6,V2ScP,Full Heusler,18,D022,5.18,1.6911,-0.322,0.0,0.0001,0.02
7,V2ScAs,Full Heusler,18,D022,5.31,1.6742,-0.162,0.0,0.0002,0.03
8,V2ScSb,Full Heusler,18,L21,6.5342,0.9988,0.042,5.26,4.1965,558.68
9,V2TiAl,Full Heusler,17,L21,6.16,1.0,-0.024,8.6,0.7065,112.12
10,V2TiGa,Full Heusler,17,L21,6.1358,0.9952,-0.039,4.9,0.6168,99.53
11,V2TiIn,Full Heusler,17,L21,6.3622,0.9998,0.205,18.85,0.6805,98.04
12,V2TiSi,Full Heusler,18,D022,5.8997,1.0590000000000002,-0.253,0.03,0.0001,0.02
13,V2TiGe,Full Heusler,18,D022,5.18,1.6564,-0.21899999999999997,0.02,0.0002,0.03
14,V2TiSn,Full Heusler,18,D022,5.8782,1.2673,-0.013999999999999999,0.02,0.0002,0.03
15,V2TiP,Full Heusler,19,D022,5.04,1.6766,-0.49200000000000005,0.0,0.0,0.0
16,V2TiAs,Full Heusler,19,D022,5.1770000000000005,1.6492,-0.281,0.0,0.0,0.0
17,V2TiSb,Full Heusler,19,L21,6.32,1.0,-0.05,13.05,1.7344,254.87
18,V2VAl,Full Heusler,18,L21,6.03,1.0,-0.087,0.0,0.0,0.0
19,V2VGa,Full Heusler,18,L21,6.03,1.0,-0.09699999999999999,0.0,0.0,0.0
20,V2VIn,Full Heusler,18,L21,6.25,1.0,0.218,0.01,0.0,0.0
21,V2VSi,Full Heusler,19,D022,5.72,1.1031,-0.307,0.0,0.0,0.0
22,V2VGe,Full Heusler,19,D022,5.68,1.1761,-0.177,0.0,0.0001,0.02
23,V2VSn,Full Heusler,19,D022,5.94,1.1599,0.032,0.02,0.0002,0.03
24,V2VP,Full Heusler,20,D022,5.41,1.2662,-0.42100000000000004,0.0,0.0,0.0
25,V2VAs,Full Heusler,20,D022,5.16,1.5659,-0.222,0.0,0.0,0.0
26,V2VSb,Full Heusler,20,L21,6.24,1.0,0.002,81.02,2.013,307.34
27,V2CrAl,Full Heusler,19,L21,5.96,1.0,-0.052000000000000005,91.93,0.9835,172.33
28,V2CrGa,Full Heusler,19,D022,5.6588,1.1587,-0.051,0.0,0.0,0.0
29,V2CrIn,Full Heusler,19,L21,6.21,1.0,0.306,38.99,1.4251,220.75
30,V2CrSi,Full Heusler,20,D022,5.568,1.1595,-0.248,0.0,0.0001,0.02
31,V2CrGe,Full Heusler,20,D022,5.5191,1.2431,-0.10300000000000001,0.0,0.0,0.0
32,V2CrSn,Full Heusler,20,L21,6.24,1.0,0.132,71.38,1.865,284.74
33,V2CrP,Full Heusler,21,D022,5.0183,1.5324,-0.37799999999999995,10.54,0.7036,134.78
34,V2CrAs,Full Heusler,21,D022,5.1692,1.5030000000000001,-0.127,2.95,0.6871,122.78
35,V2CrSb,Full Heusler,21,D022,5.4071,1.4828,0.10099999999999999,42.04,0.8851,140.07
36,V2MnAl,Full Heusler,20,L21,5.96,1.0,-0.075,27.41,1.466,256.88
37,V2MnGa,Full Heusler,20,D022,5.2009,1.4615,-0.078,22.35,0.6602,119.12
38,V2MnIn,Full Heusler,20,L21,6.31,1.0,0.244,34.48,1.7014,251.21
39,V2MnSi,Full Heusler,21,D022,4.9331,1.652,-0.318,13.4,1.6566,309.86
40,V2MnGe,Full Heusler,21,D022,5.3965,1.3275,-0.157,20.92,1.1573,205.77
41,V2MnSn,Full Heusler,21,L21,6.32,1.0,0.071,48.97,1.492,219.25
42,V2MnP,Full Heusler,22,D022,4.9367,1.5977,-0.47,42.86,1.815,350.26
43,V2MnAs,Full Heusler,22,D022,5.0731,1.5509,-0.221,40.59,1.93,353.58
44,V2MnSb,Full Heusler,22,L21,6.28,1.0,0.040999999999999995,44.8,0.9135,136.82
45,V2FeAl,Full Heusler,21,D022,4.9285,1.6927,-0.147,12.82,1.5127,276.92
46,V2FeGa,Full Heusler,21,D022,5.0109,1.6379,-0.129,28.24,1.6169,291.04
47,V2FeIn,Full Heusler,21,L21,6.21,1.0,0.28800000000000003,41.86,0.9985,154.67
48,V2FeSi,Full Heusler,22,L21,5.86,1.0,-0.255,18.92,1.2041,221.97
49,V2FeGe,Full Heusler,22,L21,5.96,1.0,-0.128,27.75,0.8354,146.38
50,V2FeSn,Full Heusler,22,D022,5.2012,1.6185,0.013999999999999999,31.81,2.016,328.39
51,V2FeP,Full Heusler,23,D022,4.9363,1.5625,-0.494,44.8,1.4605,288.27
52,V2FeAs,Full Heusler,23,D022,4.9572,1.6374,-0.235,25.94,1.3832,257.25
53,V2FeSb,Full Heusler,23,D022,5.1592,1.6446,-0.027000000000000003,22.82,1.4375,236.11
54,V2CoAl,Full Heusler,22,D022,4.8925,1.7232,-0.221,0.14,0.0019,0.35
55,V2CoGa,Full Heusler,22,D022,4.9264,1.6825,-0.184,0.0,0.0042,0.77
56,V2CoIn,Full Heusler,22,L21,6.2,1.0,0.313,63.65,3.7179,578.69
57,V2CoSi,Full Heusler,23,D022,4.8494,1.6761,-0.42,0.0,0.0,0.0
58,V2CoGe,Full Heusler,23,D022,4.9455,1.6546,-0.264,0.29,0.0707,13.1
59,V2CoSn,Full Heusler,23,D022,5.1370000000000005,1.6740000000000002,-0.05,3.77,0.0912,14.91
60,V2CoP,Full Heusler,24,D022,4.8591,1.6121,-0.5529999999999999,0.02,0.0001,0.02
61,V2CoAs,Full Heusler,24,D022,4.9811,1.6124,-0.303,0.05,0.0007,0.13
62,V2CoSb,Full Heusler,24,D022,5.1663,1.6342,-0.109,0.02,0.0001,0.02
63,V2NiAl,Full Heusler,23,D022,4.9115,1.7241,-0.29100000000000004,0.0,0.0,0.0
64,V2NiGa,Full Heusler,23,D022,4.952,1.6784,-0.25,0.0,0.0,0.0
65,V2NiIn,Full Heusler,23,D022,5.1417,1.6933,0.052000000000000005,0.0,0.0,0.0
66,V2NiSi,Full Heusler,24,D022,4.9295,1.6188,-0.461,0.0,0.0,0.0
67,V2NiGe,Full Heusler,24,D022,5.0215,1.6023,-0.32299999999999995,0.0,0.0,0.0
68,V2NiSn,Full Heusler,24,D022,5.1991,1.6346,-0.139,0.0,0.0,0.0
69,V2NiP,Full Heusler,25,D022,4.9483,1.5557,-0.556,0.0,0.0,0.0
70,V2NiAs,Full Heusler,25,D022,5.0667,1.557,-0.335,0.01,0.0,0.0
71,V2NiSb,Full Heusler,25,D022,5.239,1.5891,-0.16699999999999998,0.0,0.0,0.0
72,Cr2ScAl,Full Heusler,18,L21,6.3429,1.0001,0.11900000000000001,93.06,5.9142,859.64
73,Cr2ScGa,Full Heusler,18,L21,6.31,1.0,0.138,88.23,5.8512,863.94
74,Cr2ScIn,Full Heusler,18,L21,6.56,1.0,0.265,92.46,5.9213,778.1
75,Cr2ScSi,Full Heusler,19,L21,6.1227,1.0004,-0.035,78.57,4.937,797.6
76,Cr2ScGe,Full Heusler,19,L21,6.21,1.0,0.049,78.76,4.9294,763.57
77,Cr2ScSn,Full Heusler,19,L21,6.47,1.0,0.081,87.85,4.9609,679.48
78,Cr2ScP,Full Heusler,20,L21,5.9823,1.0004,-0.08800000000000001,95.99,3.9738,688.25
79,Cr2ScAs,Full Heusler,20,L21,6.1469,0.9949,0.066,96.85,3.9852,639.75
80,Cr2ScSb,Full Heusler,20,L21,6.3895,0.9995,0.083,98.13,3.997,568.67
81,Cr2TiAl,Full Heusler,19,L21,6.096,1.0002,-0.008,28.16,4.4399,726.9
82,Cr2TiGa,Full Heusler,19,L21,6.0763,1.0004,0.016,39.51,4.3226,714.45
83,Cr2TiIn,Full Heusler,19,L21,6.35,1.0,0.24100000000000002,68.08,4.7330000000000005,685.71
84,Cr2TiSi,Full Heusler,20,L21,5.91,1.0,-0.252,15.92,3.0466,547.49
85,Cr2TiGe,Full Heusler,20,L21,6.0,1.0,-0.114,18.73,3.318,569.84
86,Cr2TiSn,Full Heusler,20,L21,6.2865,0.9988,0.016,81.83,3.8602,577.05
