,mpid,eps_electronic,eps_total,last phdos peak,structure,formula
0,mp-1000,6.311555304676412,12.773453841404539,98.58577122703691,"Full Formula (Ba1 Te1)
Reduced Formula: BaTe
abc   :   5.013216   5.013216   5.013216
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Te    0.5  0.5  0.5
  1  Ba    0    0    0",BaTe
1,mp-1002124,24.13774271142435,32.96559329678218,677.5857252533989,"Full Formula (Hf1 C1)
Reduced Formula: HfC
abc   :   3.565664   3.565664   3.565664
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP        a      b      c    magmom
---  ----  -----  -----  -----  --------
  0  Hf    -0     -0     -0            0
  1  C      0.75   0.75   0.75        -0",HfC
2,mp-1002164,8.111020881077835,11.16946431419497,761.5857185836483,"Full Formula (Ge1 C1)
Reduced Formula: GeC
abc   :   3.255629   3.255629   3.255629
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Ge    0     0     0            0
  1  C     0.75  0.75  0.75        -0",GeC
3,mp-10044,10.032167864916383,10.128936155960776,701.5857233477558,"Full Formula (B1 As1)
Reduced Formula: BAs
abc   :   3.407727   3.407727   3.407727
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  B     0.25  0.25  0.25       0.6
  1  As    0     0     0          0.6",BAs
4,mp-1008223,3.9792006781338127,6.394042651457419,204.58576281044685,"Full Formula (Ca1 Se1)
Reduced Formula: CaSe
abc   :   4.666905   4.666905   4.666905
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Ca    0     0     0            0
  1  Se    0.75  0.75  0.75        -0",CaSe
5,mp-1008506,18.47661784796871,23.405619845868202,1138.5856886491724,"Full Formula (Ba1 Ga1 Si1 H1)
Reduced Formula: BaGaSiH
abc   :   4.301500   4.301500   5.270300
angles:  90.000000  90.000000 120.000002
Sites (4)
  #  SP         a       b       c    magmom
---  ----  ------  ------  ------  --------
  0  Ba    0       0       0             -0
  1  Ga    0.6666  0.3333  0.5423         0
  2  Si    0.3334  0.6667  0.4555        -0
  3  H     0.6666  0.3333  0.8759         0",BaGaSiH
6,mp-1008556,5.189262368073028,9.319101901857943,718.5857219979254,"Full Formula (Al1 Ga1 N2)
Reduced Formula: AlGaN2
abc   :   3.164181   3.164181   4.467331
angles:  90.000000  90.000000  90.000000
Sites (4)
  #  SP      a    b         c    magmom
---  ----  ---  ---  --------  --------
  0  Al    0.5  0.5  0.5              0
  1  Ga    0    0    0               -0
  2  N     0    0.5  0.261219         0
  3  N     0.5  0    0.738781        -0",AlGaN2
7,mp-1008559,9.327246359414938,9.467906406447547,795.5857158839873,"Full Formula (B2 P2)
Reduced Formula: BP
abc   :   3.200305   3.200257   5.298093
angles:  90.000000  90.000000 120.000499
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  B     0.666669  0.333339  0.500274        -0
  1  B     0.333331  0.666661  0.000274        -0
  2  P     0.666665  0.33333   0.874726         0
  3  P     0.333335  0.66667   0.374726         0",BP
8,mp-10086,6.03503780731975,15.705183486902332,339.58575209120477,"Full Formula (Y2 S2 F2)
Reduced Formula: YSF
abc   :   3.795994   3.795994   6.885179
angles:  90.000000  90.000000  90.000000
Sites (6)
  #  SP       a     b         c
---  ----  ----  ----  --------
  0  F     0.75  0.25  0
  1  F     0.25  0.75  0
  2  S     0.75  0.75  0.643308
  3  S     0.25  0.25  0.356692
  4  Y     0.75  0.75  0.228949
  5  Y     0.25  0.25  0.771051",YSF
9,mp-1008680,19.183229267187482,23.99704554037125,297.5857554260802,"Full Formula (Ti1 Ge1 Pt1)
Reduced Formula: TiGePt
abc   :   4.236071   4.236071   4.236071
angles:  60.000000  60.000000  60.000000
Sites (3)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Ti    0     0     0            0
  1  Ge    0.5   0.5   0.5          0
  2  Pt    0.75  0.75  0.75        -0",TiGePt
10,mp-1008786,9.136444248134904,23.20621949331387,247.5857593961698,"Full Formula (Mg1 Te1)
Reduced Formula: MgTe
abc   :   4.227884   4.227884   4.227884
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Mg    0    0    0           0
  1  Te    0.5  0.5  0.5         0",MgTe
11,mp-1009082,15.7992048174199,18.2745972995025,276.58575709351777,"Full Formula (Mg2 Sn2 As4)
Reduced Formula: MgSnAs2
abc   :   6.161299   6.161299   7.435968
angles: 114.474631 114.474631  90.000000
Sites (8)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Mg    0.5       0.5       0            0
  1  Mg    0.75      0.25      0.5          0
  2  Sn    0.25      0.75      0.5          0
  3  Sn    0         0         0            0
  4  As    0.375601  0.375     0.25        -0
  5  As    0.625     0.125601  0.75        -0
  6  As    0.874399  0.875     0.25        -0
  7  As    0.125     0.624399  0.75        -0",MgSnAs2
12,mp-1009084,14.155200738479365,16.022306774826127,523.5857374812748,"Full Formula (Be2 Sn2 As4)
Reduced Formula: BeSnAs2
abc   :   5.655784   5.655784   6.946350
angles: 114.023085 114.023085  90.000000
Sites (8)
  #  SP           a          b      c    magmom
---  ----  --------  ---------  -----  --------
  0  Be    0.5        0.5       -0            0
  1  Be    0.75       0.25       0.5          0
  2  Sn    0.25       0.75       0.5         -0
  3  Sn    0         -0         -0           -0
  4  As    0.430405   0.375      0.25         0
  5  As    0.625      0.180405   0.75         0
  6  As    0.819595   0.875      0.25         0
  7  As    0.125      0.569595   0.75         0",BeSnAs2
13,mp-1009085,9.725650646208301,10.838679435082003,590.5857321613547,"Full Formula (Be2 Si2 P4)
Reduced Formula: BeSiP2
abc   :   5.139120   5.139120   6.259615
angles: 114.236128 114.236128  90.000000
Sites (8)
  #  SP           a          b     c    magmom
---  ----  --------  ---------  ----  --------
  0  Be    0.75       0.25      0.5          0
  1  Be    0         -0         0            0
  2  Si    0.25       0.75      0.5         -0
  3  Si    0.5        0.5       0           -0
  4  P     0.109975   0.125     0.75         0
  5  P     0.875      0.359975  0.25        -0
  6  P     0.375      0.890025  0.25        -0
  7  P     0.640025   0.625     0.75         0",BeSiP2
14,mp-1009087,10.975548777894929,11.896135915323725,528.5857370842659,"Full Formula (Be2 Si2 As4)
Reduced Formula: BeSiAs2
abc   :   5.384307   5.384307   6.565039
angles: 114.209502 114.209502  90.000000
Sites (8)
  #  SP            a          b     c    magmom
---  ----  ---------  ---------  ----  --------
  0  Be     0.5        0.5       0           -0
  1  Be     0.75       0.25      0.5         -0
  2  Si    -0         -0         0           -0
  3  Si     0.25       0.75      0.5          0
  4  As     0.125      0.605981  0.75        -0
  5  As     0.394019   0.375     0.25         0
  6  As     0.855981   0.875     0.25        -0
  7  As     0.625      0.144019  0.75        -0",BeSiAs2
15,mp-1009088,13.201552584892275,14.2945499763931,540.5857361314445,"Full Formula (Be2 Ge2 As4)
Reduced Formula: BeGeAs2
abc   :   5.453220   5.453220   6.689085
angles: 114.055463 114.055463  90.000000
Sites (8)
  #  SP           a          b      c    magmom
---  ----  --------  ---------  -----  --------
  0  Be    0         -0         -0           -0
  1  Be    0.25       0.75       0.5         -0
  2  Ge    0.75       0.25       0.5         -0
  3  Ge    0.5        0.5       -0           -0
  4  As    0.125      0.656721   0.75         0
  5  As    0.906721   0.875      0.25         0
  6  As    0.625      0.093279   0.75         0
  7  As    0.343278   0.375      0.25         0",BeGeAs2
16,mp-1009540,57.85964733829591,83.51357157253113,680.1989487939549,"Full Formula (Os1 C1)
Reduced Formula: OsC
abc   :   3.261480   3.261480   3.261480
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Os    0     0     0           -0
  1  C     0.75  0.75  0.75        -0",OsC
17,mp-1009733,14.029135215494929,21.963121702916585,240.5857599519823,"Full Formula (Ca2 Si1)
Reduced Formula: Ca2Si
abc   :   5.069123   5.069123   5.069123
angles:  60.000000  60.000000  60.000000
Sites (3)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Ca    0.25  0.25  0.25        -0
  1  Ca    0.75  0.75  0.75        -0
  2  Si    0     0     0            0",Ca2Si
18,mp-1009750,6.707762463482237,13.2081046933465,597.5857316055423,"Full Formula (Sc1 N1)
Reduced Formula: ScN
abc   :   3.461719   3.461719   3.461719
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Sc    0     0     0            0
  1  N     0.75  0.75  0.75        -0",ScN
19,mp-1009792,37.590704011120856,54.02173484887768,686.5857245387828,"Full Formula (Ru1 C1)
Reduced Formula: RuC
abc   :   3.228707   3.228707   3.228707
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP        a     b      c    magmom
---  ----  -----  ----  -----  --------
  0  Ru    -0     0     -0           -0
  1  C      0.75  0.75   0.75         0",RuC
20,mp-1009813,24.52573609883457,24.798632899204737,344.5857516941958,"Full Formula (Si1 Sn1)
Reduced Formula: SiSn
abc   :   4.291627   4.291627   4.291627
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Si    0     0     0           -0
  1  Sn    0.75  0.75  0.75         0",SiSn
21,mp-1009819,4.5252160201196805,70.71283710372882,439.5724945905821,"Full Formula (Sr1 O1)
Reduced Formula: SrO
abc   :   3.141704   3.141704   3.141704
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Sr    0    0    0           0
  1  O     0.5  0.5  0.5         0",SrO
22,mp-1009820,12.08947426730432,15.969080835910475,641.5857281118634,"Full Formula (Sn1 C1)
Reduced Formula: SnC
abc   :   3.596783   3.596783   3.596783
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Sn    0     0     0            0
  1  C     0.75  0.75  0.75         0",SnC
23,mp-1009894,52.444400538471115,65.673998936129,643.5857279530597,"Full Formula (Zr1 C1)
Reduced Formula: ZrC
abc   :   3.610595   3.610595   3.610595
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Zr    0     0     0            0
  1  C     0.75  0.75  0.75        -0",ZrC
