,material_id,formula,nsites,point_group,space_group,volume,structure,eij_max,v_max,piezoelectric_tensor
0,mp-22925,AgI,2.0,-43m,216.0,73.2195833241,"Full Formula (Ag1 I1)
Reduced Formula: AgI
abc   :   4.695848   4.695848   4.695849
angles:  60.000002  60.000002  59.999997
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ag    0     0     0
  1  I     0.25  0.25  0.25",0.091464,"[1.0, 1.0, 1.0]","[[ 0.       0.       0.      -0.15842  0.       0.     ]
 [ 0.       0.       0.       0.      -0.15842  0.     ]
 [ 0.       0.       0.       0.       0.      -0.15842]]"
1,mp-406,CdTe,2.0,-43m,216.0,72.8272079484,"Full Formula (Cd1 Te1)
Reduced Formula: CdTe
abc   :   4.687446   4.687445   4.687445
angles:  59.999996  59.999998  59.999997
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Cd    0     0     0
  1  Te    0.25  0.25  0.25",0.004848,"[1.0, 1.0, 1.0]","[[0.         0.         0.         0.00839667 0.         0.        ]
 [0.         0.         0.         0.         0.00839667 0.        ]
 [0.         0.         0.         0.         0.         0.00839667]]"
2,mp-1639,BN,2.0,-43m,216.0,11.9172094079,"Full Formula (B1 N1)
Reduced Formula: BN
abc   :   2.563873   2.563874   2.563873
angles:  59.999994  59.999989  60.000005
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  B     0     0     0
  1  N     0.25  0.25  0.25",0.517745,"[1.0, 1.0, 1.0]","[[0.      0.      0.      0.89676 0.      0.     ]
 [0.      0.      0.      0.      0.89676 0.     ]
 [0.      0.      0.      0.      0.      0.89676]]"
3,mp-10695,ZnS,2.0,-43m,216.0,40.4756751405,"Full Formula (Zn1 S1)
Reduced Formula: ZnS
abc   :   3.853923   3.853923   3.853923
angles:  60.000007  60.000005  60.000001
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  S     0.25  0.25  0.25
  1  Zn    0     0     0",0.030692,"[1.0, 1.0, 1.0]","[[0.      0.      0.      0.05316 0.      0.     ]
 [0.      0.      0.      0.      0.05316 0.     ]
 [0.      0.      0.      0.      0.      0.05316]]"
4,mp-2176,ZnTe,2.0,-43m,216.0,59.1456154302,"Full Formula (Zn1 Te1)
Reduced Formula: ZnTe
abc   :   4.373332   4.373332   4.373333
angles:  60.000002  60.000003  60.000005
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Zn    0     0     0
  1  Te    0.25  0.25  0.25",0.068884,"[1.0, 1.0, 1.0]","[[0.      0.      0.      0.11931 0.      0.     ]
 [0.      0.      0.      0.      0.11931 0.     ]
 [0.      0.      0.      0.      0.      0.11931]]"
5,mp-1986,ZnO,2.0,-43m,216.0,24.818433116399998,"Full Formula (Zn1 O1)
Reduced Formula: ZnO
abc   :   3.274135   3.274134   3.274134
angles:  59.999998  60.000007  60.000002
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Zn    0     0     0
  1  O     0.25  0.25  0.25",0.378684,"[1.0, 1.0, 1.0]","[[ 0.      0.      0.     -0.6559  0.      0.    ]
 [ 0.      0.      0.      0.     -0.6559  0.    ]
 [ 0.      0.      0.      0.      0.     -0.6559]]"
6,mp-1190,ZnSe,2.0,-43m,216.0,47.3376454287,"Full Formula (Zn1 Se1)
Reduced Formula: ZnSe
abc   :   4.060448   4.060447   4.060447
angles:  59.999993  59.999999  59.999998
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Zn    0     0     0
  1  Se    0.25  0.25  0.25",0.032961000000000004,"[1.0, 1.0, 1.0]","[[ 0.       0.       0.      -0.05709  0.       0.     ]
 [ 0.       0.       0.       0.      -0.05709  0.     ]
 [ 0.       0.       0.       0.       0.      -0.05709]]"
7,mp-1778,BeO,2.0,-43m,216.0,13.9805480869,"Full Formula (Be1 O1)
Reduced Formula: BeO
abc   :   2.704040   2.704040   2.704040
angles:  59.999995  59.999996  59.999997
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Be    0     0     0
  1  O     0.25  0.25  0.25",0.06907999999999999,"[1.0, 1.0, 1.0]","[[0.      0.      0.      0.11965 0.      0.     ]
 [0.      0.      0.      0.      0.11965 0.     ]
 [0.      0.      0.      0.      0.      0.11965]]"
8,mp-830,GaN,2.0,-43m,216.0,23.4804762501,"Full Formula (Ga1 N1)
Reduced Formula: GaN
abc   :   3.214208   3.214208   3.214208
angles:  60.000002  60.000002  60.000001
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  N     0.25  0.25  0.25
  1  Ga    0     0     0",0.074259,"[1.0, 1.0, 1.0]","[[0.      0.      0.      0.12862 0.      0.     ]
 [0.      0.      0.      0.      0.12862 0.     ]
 [0.      0.      0.      0.      0.      0.12862]]"
9,mp-22895,CuI,2.0,-43m,216.0,54.93133766,"Full Formula (Cu1 I1)
Reduced Formula: CuI
abc   :   4.226059   4.308956   4.308955
angles:  60.000000  59.348969  59.348977
Sites (2)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Cu    0.839338  0.720221  0.720221
  1  I     0.075662  0.974779  0.974779",0.078345,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -0.13569667  0.          0.        ]
 [ 0.          0.          0.          0.         -0.13569667  0.        ]
 [ 0.          0.          0.          0.          0.         -0.13569667]]"
10,mp-1479,BP,2.0,-43m,216.0,23.499693655,"Full Formula (B1 P1)
Reduced Formula: BP
abc   :   3.215085   3.215085   3.215085
angles:  60.000008  60.000005  60.000006
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  B     0     0     0
  1  P     0.25  0.25  0.25",0.012228,"[1.0, 1.0, 1.0]","[[ 0.       0.       0.      -0.02118  0.       0.     ]
 [ 0.       0.       0.       0.      -0.02118  0.     ]
 [ 0.       0.       0.       0.       0.      -0.02118]]"
