,Unnamed: 0,pf_n,pf_p,s_n,s_p,m_n,m_p
0,0,0.865,0.0125,-421.0,760.0,0.578,72.8
1,1,1.05,0.644,-393.0,567.0,0.541,4.02
2,2,0.977,0.42,-305.0,471.0,0.27,1.02
3,3,0.889,0.0257,-416.0,871.0,0.5479999999999999,20.3
4,4,0.7190000000000001,1.57,-496.0,510.0,1.16,0.667
5,5,1.1,0.0268,-223.0,843.0,0.127,5.22
6,6,1.02,0.506,-334.0,587.0,0.308,0.802
7,7,1.01,0.0227,-363.0,913.0,0.37,16.4
8,8,1.4,0.4370000000000001,-597.0,682.0,2.58,2.83
9,9,1.42,0.7809999999999999,-551.0,614.0,0.624,1.56
10,10,0.932,0.34700000000000003,-412.0,539.0,0.521,1.51
11,11,1.41,0.4920000000000001,-580.0,729.0,2.22,4.52
12,12,1.09,0.188,-489.0,844.0,0.618,3.59
13,13,1.16,0.179,-275.0,578.0,0.184,1.2
14,14,1.14,0.7859999999999999,-432.0,471.0,1.03,0.693
15,15,1.21,1.45,-512.0,565.0,0.61,0.5660000000000001
16,16,0.913,0.0883,-405.0,899.0,0.507,5.24
17,17,0.978,0.153,-439.0,772.0,0.833,3.72
18,18,0.541,0.373,-703.0,761.0,2.61,3.91
19,19,1.82,0.797,-433.0,605.0,128.0,2.17
20,20,0.986,0.863,-430.0,446.0,0.687,0.6579999999999999
21,21,0.937,1.01,-449.0,431.0,0.8170000000000001,0.62
22,22,0.92,0.0523,-399.0,835.0,0.509,8.83
23,23,1.19,0.145,-385.0,720.0,73400.0,15.2
24,24,0.0284,1.02,-894.0,574.0,91.5,2.25
25,25,0.85,0.105,-425.0,764.0,0.604,5.19
26,26,0.769,1.74,-592.0,525.0,1.51,0.688
27,27,1.11,0.177,-255.0,648.0,0.165,1.03
28,28,0.615,0.417,-152.0,72.7,0.121,0.166
29,29,0.923,0.28600000000000003,-531.0,652.0,2.32,3.67
30,30,0.955,0.177,-375.0,679.0,0.426,2.67
31,31,0.112,1.34,-858.0,681.0,25.2,1.75
32,32,0.8029999999999999,0.15,-444.0,737.0,0.695,58.5
