,Unnamed: 0,bulk_modulus,shear_modulus,suspect_value,Allred-Rochow_EN_feat_1,Allred-Rochow_EN_feat_2,Allred-Rochow_EN_feat_3,Allred-Rochow_EN_feat_4,Gillman_number_VE_feat_1,Gillman_number_VE_feat_2,Gillman_number_VE_feat_3,Gillman_number_VE_feat_4,Gilman_electron_density,Gordy_EN_feat_1,Gordy_EN_feat_2,Gordy_EN_feat_3,Gordy_EN_feat_4,Laue_class,Martynov_EN_feat_1,Martynov_EN_feat_2,Martynov_EN_feat_3,Martynov_EN_feat_4,Mendeleev_number_feat_1,Mendeleev_number_feat_2,Mendeleev_number_feat_3,Mendeleev_number_feat_4,Mulliken_EN_feat_1,Mulliken_EN_feat_2,Mulliken_EN_feat_3,Mulliken_EN_feat_4,Pauling_EN_feat_1,Pauling_EN_feat_2,Pauling_EN_feat_3,Pauling_EN_feat_4,Zungar_radius_feat_1,Zungar_radius_feat_2,Zungar_radius_feat_3,Zungar_radius_feat_4,anisotropy,atomic_number_feat_1,atomic_number_feat_2,atomic_number_feat_3,atomic_number_feat_4,atomic_radius_feat_1,atomic_radius_feat_2,atomic_radius_feat_3,atomic_radius_feat_4,atomic_weight_feat_1,atomic_weight_feat_2,atomic_weight_feat_3,atomic_weight_feat_4,boiling_point_feat_1,boiling_point_feat_2,boiling_point_feat_3,boiling_point_feat_4,cohesive_energy_feat_1,cohesive_energy_feat_2,cohesive_energy_feat_3,cohesive_energy_feat_4,covalent_radius_feat_1,covalent_radius_feat_2,covalent_radius_feat_3,covalent_radius_feat_4,crystal_class,crystal_radius_feat_1,crystal_radius_feat_2,crystal_radius_feat_3,crystal_radius_feat_4,crystal_system,density,density_feat_1,density_feat_2,density_feat_3,density_feat_4,electron_density,family_number_feat_1,family_number_feat_2,family_number_feat_3,family_number_feat_4,first_ionization_energy_feat_1,first_ionization_energy_feat_2,first_ionization_energy_feat_3,first_ionization_energy_feat_4,group_number_feat_1,group_number_feat_2,group_number_feat_3,group_number_feat_4,heat_of_atomization_feat_1,heat_of_atomization_feat_2,heat_of_atomization_feat_3,heat_of_atomization_feat_4,heat_of_fusion_feat_1,heat_of_fusion_feat_2,heat_of_fusion_feat_3,heat_of_fusion_feat_4,heat_of_vaporization_feat_1,heat_of_vaporization_feat_2,heat_of_vaporization_feat_3,heat_of_vaporization_feat_4,inversion_centre,ionic_radius_feat_1,ionic_radius_feat_2,ionic_radius_feat_3,ionic_radius_feat_4,melting_point_feat_1,melting_point_feat_2,melting_point_feat_3,melting_point_feat_4,metallic_valence_feat_1,metallic_valence_feat_2,metallic_valence_feat_3,metallic_valence_feat_4,number_VE_feat_1,number_VE_feat_2,number_VE_feat_3,number_VE_feat_4,number_d_electrons_feat_1,number_d_electrons_feat_2,number_d_electrons_feat_3,number_d_electrons_feat_4,number_outer_shell_electrons_feat_1,number_outer_shell_electrons_feat_2,number_outer_shell_electrons_feat_3,number_outer_shell_electrons_feat_4,number_p_electrons_feat_1,number_p_electrons_feat_2,number_p_electrons_feat_3,number_p_electrons_feat_4,number_s_electrons_feat_1,number_s_electrons_feat_2,number_s_electrons_feat_3,number_s_electrons_feat_4,outer_shell_electron_density,period_number_feat_1,period_number_feat_2,period_number_feat_3,period_number_feat_4,polar_axis,polarizability_feat_1,polarizability_feat_2,polarizability_feat_3,polarizability_feat_4,reduced_volume,space_group_number,specific_heat_feat_1,specific_heat_feat_2,specific_heat_feat_3,specific_heat_feat_4,thermal_conductivity_feat_1,thermal_conductivity_feat_2,thermal_conductivity_feat_3,thermal_conductivity_feat_4,valence_electron_density,volume_per_atom
0,0,225.230460942406,91.19774798447929,False,3.3865,3.5469999999999997,1.6130000000000002,1.72,6.0,6,3,3,0.41501353319749795,13.34305,19.6387,3.5237,7.7208,11,3.685,4.09,1.64,1.91,131.0,116,63,73,10.015,13.57,3.23,5.6,4.225,5.23,1.61,2.28,4.8875,6.425,1.675,2.7,1.0,123.5,221,13,78,2.65,2.8,1.25,1.35,306.1107695,558.258461,26.981539,195.08,7520.3,9560.3,2740.15,4100.15,10.455,14.13,3.39,5.84,2.54,2.72,1.18,1.3,37,1.375,1.69,0.53,0.74,7,17.58,33.45,61.5,2.7,21.4,0.22479899714864499,8.5,7,4,5,1591.0,2026,578,868,21.5,17,10,13,1010.5,1369,326,565,34.795,48.01,10.79,19.6,911.7,1236.6,293.4,510.0,1,2.65,2.8,1.25,1.35,3534.3,5202.3,933.15,2045.15,10.17,14.34,3.0,5.78,16.5,27,3,10,13.5,27,0,9,3.0,0,1,3,0.5,1,0,1,2.5,1,1,2,0.27667568879833193,10.5,15,3,6,0,13.9,11.2,6.5,8.3,57.83,221,0.645,0.51,0.13,0.9,225.9,22.2,71.6,237.0,0.8991959885945799,14.4573598691412
1,1,232.696340370289,74.5901571765234,False,2.455,2.09,1.41,1.75,6.5,7,3,5,0.631473724949019,5.09485,3.1851,3.3437,3.5023,9,3.055,2.05,2.03,2.04,75.5,57,47,52,5.72,3.44,3.72,4.0,2.35,1.5,1.55,1.6,3.6,1.68,2.22,2.76,0.771964912280702,45.5,9,25,41,2.125,1.35,1.4,1.45,101.39124,16.969720000000002,54.93805,92.90638,4742.725,544.85,2235.15,5015.15,6.705,1.73,2.92,7.57,1.84,1.0,1.17,1.34,32,1.2,0.84,0.78,0.81,6,8.86,11.715,6.29,7.43,8.57,0.31573686247451,6.0,4,4,4,1043.0,782,652,717,9.5,9,5,7,644.0,164,281,726,25.25,2.3,12.05,26.4,607.0,150.0,266.0,682.0,1,2.125,1.35,1.4,1.45,2887.725,293.15,1517.15,2741.15,8.28,6.56,5.0,5.78,9.5,9,5,7,7.0,6,4,5,2.5,3,1,2,0.0,0,0,0,2.5,3,1,2,0.236802646855882,6.5,3,4,5,0,17.25,3.1,9.4,15.7,152.07,194,0.61,0.7,0.26,0.48,34.67,38.06,7.82,53.7,0.947210587423529,12.668777312382801
2,2,204.573432614044,98.56437402157489,False,4.19,6.06,1.16,3.61,7.0,10,2,6,0.680450684311944,11.5555,10.3702,6.3704,8.3703,2,4.185,4.91,1.73,3.32,109.5,129,45,87,9.44,11.28,3.8,7.54,4.09,5.58,1.3,3.44,1.92,1.98,0.465,2.91,0.9764400514304079,44.0,56,8,72,1.375,0.35,0.6,1.55,105.2444,146.4912,15.9994,178.49,2526.725,4692.85,90.15,4873.15,5.84,1.2,2.62,6.44,1.45,0.02,0.73,1.44,5,1.635,1.57,0.85,1.21,2,9.91,6.65143,13.297139999999999,0.00143,13.3,0.28352111846331,9.0,10,4,7,1643.5,1969,659,1314,18.0,28,4,16,558.5,121,249,619,12.25259,23.61482,0.22259,24.06,290.9099,568.1802,3.4099,575.0,1,1.375,0.35,0.6,1.55,1304.825,2390.65,54.75,2500.15,2.0,4.0,0.0,4.0,8.0,8,4,6,1.0,2,0,2,7.0,10,2,6,4.0,8,0,4,3.0,2,2,2,0.680450684311944,5.0,2,2,6,0,8.892999999999999,14.614,0.7929999999999999,16.2,141.13,14,0.99,1.7,0.14,0.92,11.52674,22.94652,0.026739999999999996,23.0,0.8505633553899309,11.756913740323998
3,3,159.312639978477,51.7788162049249,False,3.635,3.83,1.72,1.85,4.5,3,2,3,0.414354217329759,9.35595,3.2703,3.6637,7.7208,11,2.575,1.33,1.08,1.91,127.5,129,63,64,9.52,7.84,4.48,5.6,3.99,3.42,1.9,2.28,4.41,3.42,2.04,2.7,1.0,82.5,9,29,78,2.7,2.7,1.35,1.35,192.859,4.44200000000001,63.54600000000001,195.08,6310.3,4420.3,2840.15,4100.15,8.155,4.63,3.49,5.84,2.405,2.21,1.17,1.3,37,1.435,1.39,0.71,0.74,7,13.27,24.14,5.48,8.96,21.4,0.435071928196247,8.0,8,4,4,1551.5,1367,745,868,21.5,23,10,11,789.5,449,338,565,29.375,19.55,13.05,19.6,705.45,390.9,300.3,510.0,1,2.7,2.7,1.35,1.35,3056.8,2023.3,1356.15,2045.15,11.05,10.54,5.44,5.78,21.5,23,10,11,19.5,21,9,10,2.0,2,1,1,0.0,0,0,0,2.0,2,1,1,0.165741686931904,9.0,6,4,6,0,13.3,13.6,6.5,6.7,48.27,221,0.635,1.01,0.13,0.38,637.3,1131.4,71.6,401.0,1.74028771278499,12.066970217466901
4,4,69.63756485664871,27.588765401169802,False,2.7995,2.1590000000000003,1.2930000000000001,1.72,4.5,3,2,3,0.266051530812142,8.32215,1.2027,2.9745,7.7208,9,2.92,2.02,1.31,1.91,133.5,141,63,68,8.425,5.65,3.75,5.6,3.105,1.65,1.31,2.28,4.395,3.39,2.03,2.7,0.966856780735108,57.0,42,12,78,2.925,3.15,1.35,1.5,133.9975,122.165,24.305,195.08,4094.8,10.6999999999994,1363.15,4100.15,5.185,1.31,1.51,5.84,2.69,2.78,1.3,1.36,29,1.66,1.84,0.74,0.86,6,5.92,13.31,16.18,1.74,21.4,0.159630918487285,5.0,2,2,4,1541.0,1346,738,868,8.0,4,2,10,504.5,121,148,565,23.230999999999998,7.2620000000000005,8.954,19.6,446.1,127.8,127.4,510.0,0,2.925,3.15,1.35,1.5,2405.8,721.3,922.15,2045.15,5.89,0.22,2.0,5.78,8.0,4,2,10,4.5,9,0,9,3.5,5,1,2,0.0,0,0,0,3.5,5,1,2,0.159630918487285,7.5,3,3,6,1,19.15,25.3,6.5,10.6,450.98,185,1.595,2.93,0.13,1.02,269.8,396.4,71.6,156.0,0.638523673949141,18.793351741811602
5,5,124.962171247142,65.2090591840404,False,5.2170000000000005,8.366,1.034,1.88,8.5,13,2,3,0.359104708510096,10.45415,14.8827,3.0128,3.5791,9,4.985,7.63,1.17,1.76,156.0,298,7,61,12.1,19.8,2.2,4.4,5.275,8.55,1.0,1.91,6.95,7.9,2.18,3.0,0.8633041865394809,80.0,120,20,28,4.275,4.95,1.35,1.8,166.7725,253.389,40.078,58.6934,8386.45,13258.6,1757.15,3003.15,12.02,20.36,1.84,4.44,3.745,4.01,1.15,1.74,32,2.32,2.36,0.7,1.14,6,6.63,23.025,42.95,1.55,8.9,0.143641883404038,11.0,18,2,4,2137.5,3095,590,737,26.0,48,2,10,1164.0,1972,178,430,47.945,78.81,8.54,17.47,1002.65,1698.7,153.3,370.4,1,4.275,4.95,1.35,1.8,4871.45,7518.6,1112.15,1726.15,15.45,26.9,2.0,5.78,26.0,48,2,10,20.0,40,0,8,6.0,8,2,2,0.0,0,0,0,6.0,8,2,2,0.28728376680807693,12.0,16,4,4,0,28.4,11.2,6.8,22.8,83.6,191,1.415,1.57,0.44,0.63,326.75,253.5,90.7,200.0,0.861851300424231,13.923515569441301
6,6,249.902917972133,100.162864362062,False,3.285,3.75,1.41,1.72,6.0,6,3,3,0.39001349531645396,13.33235,19.6601,3.5023,7.7208,2,3.88,3.7,1.91,2.03,118.0,142,47,63,10.4,12.8,4.0,5.6,4.22,5.24,1.6,2.28,5.43,5.34,2.7,2.76,0.668105263157895,137.5,193,41,78,2.75,2.6,1.35,1.45,339.07319,492.33362,92.90638,195.08,8657.8,7285.3,4100.15,5015.15,12.545,9.95,5.84,7.57,2.62,2.56,1.3,1.34,5,1.5,1.44,0.74,0.78,2,18.3,36.385,55.63,8.57,21.4,0.243758434572784,8.0,8,4,4,1628.0,1952,652,868,17.5,25,5,10,1210.5,969,565,726,42.6,32.4,19.6,26.4,1106.0,848.0,510.0,682.0,1,2.75,2.6,1.35,1.45,4438.3,3394.3,2045.15,2741.15,11.17,12.34,5.0,5.78,17.5,25,5,10,15.5,23,4,9,2.0,2,1,1,0.0,0,0,0,2.0,2,1,1,0.130004498438818,11.5,13,5,6,0,17.6,3.8,6.5,15.7,246.1,11,0.325,0.13,0.13,0.26,134.25,161.1,53.7,71.6,0.975033738291134,15.384083043412799
7,7,126.939454423978,55.6477934064098,False,5.409,0.462,1.88,2.589,10.5,3,3,6,0.662210870222245,11.21445,0.9543,3.5791,5.8458,7,5.29,0.0199999999999996,1.76,2.65,179.5,7,61,88,12.82,0.7600000000000021,4.4,6.22,5.445,0.5699999999999991,1.91,2.58,4.37,4.34,1.1,2.18,0.871367500672585,58.0,52,16,28,3.025,2.05,1.0,1.35,120.1061,111.9482,32.066,58.6934,5222.575,7573.75,717.85,3003.15,9.51,7.62,2.85,4.44,2.745,1.41,1.02,1.15,32,1.48,1.24,0.43,0.7,5,5.87,15.42,22.56,2.07,8.9,0.235452753856798,13.0,2,4,7,2105.5,211,737,1000,31.0,2,10,16,924.0,732,279,430,27.9225,48.975,1.7175,17.47,565.4,1091.6,9.8,370.4,0,3.025,2.05,1.0,1.35,2975.175,4406.55,385.95,1726.15,10.67,13.34,2.0,5.78,21.0,18,6,10,12.0,24,0,8,9.0,6,2,6,4.0,8,0,4,5.0,2,2,2,0.588631884641996,9.0,6,3,4,1,13.1,14.6,2.9,6.8,67.95,155,1.37,0.0999999999999999,0.44,0.71,136.319,271.562,0.26899999999999996,90.7,1.17726376928399,13.590837004804099
8,8,53.6577153027449,40.003546840236204,False,1.867,0.23399999999999999,1.75,1.984,5.0,0,5,5,0.46554288516483294,4.1695,1.6516,3.3437,4.9953,9,2.09,0.1,2.04,2.14,68.5,33,52,85,4.285,1.13,3.72,4.85,1.8,0.5,1.55,2.05,1.9925,0.455,1.765,2.22,0.809932094353109,38.0,26,25,51,1.425,0.05,1.4,1.45,88.349025,66.82195,54.93805,121.76,2229.15,12.0,2223.15,2235.15,2.835,0.17,2.75,2.92,1.285,0.23,1.17,1.4,32,0.855,0.09,0.81,0.9,6,6.83,7.06,0.739999999999999,6.69,7.43,0.2793257310989,5.0,2,4,6,775.5,117,717,834,11.0,8,7,15,271.5,19,262,281,15.96,7.82,12.05,19.87,171.57,188.86,77.14,266.0,1,1.425,0.05,1.4,1.45,1210.65,613.0,904.15,1517.15,4.39,2.78,3.0,5.78,6.0,2,5,7,7.5,5,5,10,2.0,0,2,2,1.5,3,0,3,2.0,0,2,2,0.186217154065933,4.5,1,4,5,0,8.0,2.8,6.6,9.4,85.86,194,0.345,0.27,0.21,0.48,16.06,16.48,7.82,24.3,0.5586514621978,21.480298203804196
9,9,126.541875744005,72.3364479018333,False,1.8319999999999999,0.016,1.824,1.84,4.0,0,4,4,0.466998297711367,4.0451,1.095,3.4976,4.5926,9,1.8,0.16,1.72,1.88,69.0,22,58,80,4.3,0.0,4.3,4.3,1.92,0.0800000000000001,1.88,1.96,1.95,0.14,1.88,2.02,0.8721358124494749,38.5,23,27,50,1.4,0.0999999999999999,1.35,1.45,88.8216,59.7768,58.9332,118.71,2843.15,600.0,2543.15,3143.15,3.765,1.25,3.14,4.39,1.285,0.25,1.16,1.41,32,0.615,0.15,0.54,0.69,6,8.61,8.105,1.59,7.31,8.9,0.379436116890486,4.5,1,4,5,734.5,51,709,760,11.5,5,9,14,363.5,123,302,425,11.6095,9.161,7.029,16.19,336.15,80.7,295.8,376.5,1,1.4,0.0999999999999999,1.35,1.45,1136.65,1263.0,505.15,1768.15,4.89,1.78,4.0,5.78,6.5,5,4,9,8.5,3,7,10,2.0,0,2,2,1.0,2,0,2,2.0,0,2,2,0.23349914885568399,4.5,1,4,5,0,7.6,0.2,7.5,7.7,102.73,191,0.3235,0.193,0.22699999999999998,0.42,83.3,33.4,66.6,100.0,0.758872233780972,17.1306834290528
