,Unnamed: 0,k_expt
0,0,157.0
1,1,19.9
2,2,181.0
3,3,64.5
4,4,15.6
5,5,2940.0
6,6,64.5
7,7,447.0
8,8,32.1
9,9,372.0
10,10,36.5
11,11,104.0
12,12,447.0
13,13,25.2
14,14,2.75
15,15,85.2
16,16,18.9
17,17,7.1
18,18,7.1
19,19,32.5
20,20,14.7
21,21,1.26
22,22,77.4
23,23,181.0
24,24,2.44
25,25,235.0
26,26,84.0
27,27,13.8
28,28,90.4
29,29,6.67
30,30,11.4
31,31,1.26
32,32,19.9
33,33,420.0
34,34,372.0
35,35,108.0
36,36,235.0
37,37,14.4
38,38,2.75
39,39,105.0
40,40,2.44
41,41,86.8
42,44,4.016716418
43,46,2.94
44,47,2.2948
45,49,6.16
46,52,1.3
47,55,2.47577
48,58,9.07
49,60,3.81187
50,61,4.195
51,65,9.71545
52,71,3.0834
53,72,5.53
54,76,6.0761
55,78,7.82
56,80,6.8928
57,84,1.91
58,86,6.55
59,106,8.177
60,109,0.481
61,117,5.09
62,118,1.904
63,121,6.75
64,122,2.18825
65,123,3.56184
66,124,8.86791
67,132,2.77301
68,133,7.5581
69,135,1.3479
70,140,1.67
71,145,1.4885
72,146,1.54
73,149,1.28517
74,157,3.5909
75,159,5.88
76,165,1.637290898
77,168,2.18
78,169,7.98
79,176,0.956
80,177,0.81
81,178,1.55
82,185,2.66
83,191,7.08
84,192,1.78652
85,198,1.4902799999999998
86,199,1.8
87,200,1.94
88,202,9.5221
89,206,6.02
90,221,1.967
91,223,0.7829999999999999
92,234,2.3
93,236,1.65
94,238,4.37
95,240,0.77
96,243,6.88672
97,245,2.0
98,247,1.9
99,248,1.807
100,250,9.6695
101,255,1.64488
102,257,3.23848
103,258,2.12496
104,259,1.7
105,261,1.793253904
106,268,5.205245902
107,269,2.51281
108,272,7.4261
109,277,2.5704700000000003
110,279,1.468195804
111,282,9.1565
112,286,1.25
113,287,5.2
114,307,4.29
115,309,2.45
116,312,6.904439999999999
117,315,4.087
118,316,0.2
119,317,9.811
120,321,1.5
121,322,1.6
122,327,3.394
123,330,8.35
124,333,4.5
125,334,1.86
126,340,29.6
127,343,2.55853
128,345,5.88
129,347,44.495
130,348,3.69579
131,354,3.0142900000000004
132,361,1.59
133,362,7.25
134,363,2.16832
135,365,5.69
136,367,7.96
137,373,34.5
138,374,44.495
139,379,1.6669999999999998
140,384,1.7135
141,385,1.72527
142,388,2.86
143,392,2.4
144,393,3.51
145,398,0.377
146,400,9.41949
147,402,2.5
148,407,6.55
149,411,3.99643
150,414,4.96
151,416,0.76
152,419,1.45
153,427,10.42
154,431,40.29
155,438,1.8
156,441,8.52
157,445,2.143851851
158,446,6.19
159,448,6.9595
160,451,16.23
161,453,2.84951
162,456,2.30636
163,460,1.37
164,469,1.8
165,470,4.07
166,474,2.887113404
167,481,1.49875
168,485,19.08
169,487,2.74566
170,488,2.31
171,489,1.216
172,490,1.45
173,491,1.6669999999999998
174,493,3.78035
175,498,3.0626
176,501,7.1396
177,505,1.49
178,507,4.11
179,509,2.766860566
180,515,2.18498
181,517,6.9663
182,531,1.6669999999999998
183,532,5.98
184,535,1.87927
185,536,1.01
186,538,17.1
187,539,3.17
188,543,1.24
189,547,3.814
190,549,7.13
191,556,7.83
192,559,2.9
193,563,2.98
194,566,48.7
195,568,1.488878233
196,571,1.9384
197,572,1.77
198,574,1.52
199,575,3.07
200,579,2.0
201,584,5.80227
202,591,1.5
203,594,8.8594
204,597,2.0
205,604,2.85
206,606,2.2675
207,620,2.402
208,626,2.78
209,631,2.170001556
210,632,7.72
211,636,6.84738
212,637,0.84
213,639,2.08661
214,644,3.377777778
215,649,2.0
216,651,8.5
217,656,6.84
218,657,2.69643
219,659,1.9421
220,661,5.6
221,666,0.97
222,668,7.0
223,672,1.1
224,674,1.4323
225,682,6.39
226,683,0.7829999999999999
227,684,2.68777
228,697,1.47
229,699,2.05
230,703,10.1428
231,707,2.46
232,709,6.5859
233,711,10.0594
234,714,2.44922
235,718,4.59
236,719,1.48358962
237,724,1.06
238,725,9.6761
239,727,4.139469999999998
240,729,9.2934
241,732,3.948955807
242,736,2.0
243,739,2.29861
244,743,2.9898
245,744,4.33976
246,745,13.0
247,746,2.0
248,747,1.91
249,748,7.1
250,749,0.5
251,750,15.0
252,751,0.75
253,752,1.1
254,753,0.44
255,754,0.38
256,755,0.53
257,756,0.34
258,757,1.11
259,758,0.38
260,759,0.59
261,760,1.29
262,761,1.05
263,762,1.26
264,763,1.05
265,764,0.46
266,765,0.32
267,766,1.21
268,767,0.39
269,768,2.54
270,769,0.38
271,770,1.02
272,771,0.39
273,772,0.87
274,773,0.29
275,774,0.48
276,776,1.6
277,777,108.0
278,778,16.0
279,779,36.0
280,781,30.0
281,783,30.0
282,784,8.0
283,786,30.0
284,787,40.0
285,789,300.0
286,790,12.0
287,791,150.0
288,794,110.0
289,795,6.5
290,796,11.0
291,797,38.0
292,798,1.8
293,799,14.0
294,800,40.0
