,Unnamed: 0,nsites,space_group,volume,band_gap,n,poly_electronic,poly_total,pot_ferroelectric
0,0,3,225,159.501207678,1.88,1.86,3.44,6.23,False
1,1,3,166,84.2980965532,3.52,1.78,3.16,6.73,False
2,2,3,164,108.33587516899999,1.17,2.23,4.97,10.64,False
3,3,4,186,88.162562026,1.12,2.65,7.04,17.99,False
4,4,6,136,82.8264012678,2.87,1.53,2.35,7.12,False
5,5,4,186,146.31155269299998,1.4,2.23,4.97,7.16,False
6,6,3,225,139.467818426,2.14,1.86,3.47,6.22,False
7,7,3,225,68.26890106729999,1.71,1.78,3.18,9.24,False
8,8,2,225,67.3095882287,2.15,2.19,4.81,14.95,False
9,9,3,225,98.597229912,2.02,2.08,4.32,7.88,False
10,10,2,225,55.784571766099994,0.12,6.76,45.7,45.7,True
11,11,2,225,46.695124244700004,2.38,2.23,4.99,12.09,False
12,12,3,225,69.5378946656,2.5,2.23,4.97,8.42,False
13,13,3,164,77.9966094876,1.05,2.84,8.05,35.9,False
14,14,3,225,116.698690065,2.09,1.82,3.3,6.37,False
15,15,6,72,213.795473732,2.15,1.96,3.85,4.82,False
16,16,2,225,35.7434887297,2.76,2.32,5.4,16.02,False
17,17,3,164,119.46093351399999,2.42,2.18,4.73,10.7,False
18,18,6,186,204.88325531400002,2.94,1.88,3.54,7.48,True
19,19,2,225,29.7575464199,0.15,3.93,15.43,120.01,False
20,20,3,225,45.157794439499995,0.97,1.96,3.84,12.36,False
21,21,4,129,75.28545173180001,0.41,2.7,7.29,18.73,False
22,22,4,187,38.7289646409,4.42,1.96,3.84,5.08,False
23,23,3,164,40.9922057139,1.6,2.73,7.44,9.29,False
24,24,3,225,103.981990274,2.32,1.76,3.1,6.36,False
25,25,2,216,28.9558083259,3.14,2.29,5.26,7.26,False
26,26,3,164,118.643076511,3.62,1.92,3.67,6.72,False
27,27,2,225,86.78051080680002,4.19,1.57,2.45,5.69,False
28,28,3,164,70.4227556857,1.25,1.98,3.92,5.18,False
29,29,3,225,70.9338407808,2.44,1.87,3.51,7.04,False
30,30,3,164,75.1136317601,5.57,1.62,2.64,5.22,False
31,31,3,164,69.3832905913,1.54,3.18,10.14,10.9,False
32,32,3,139,52.1468870527,2.23,1.88,3.52,17.11,False
33,33,3,225,43.7885475453,1.87,1.81,3.27,7.57,False
34,34,3,164,74.9463454114,0.83,3.91,15.28,16.0,False
35,35,3,225,20.2637521337,1.17,2.65,7.0,14.92,False
36,36,3,164,93.2083621977,1.6,1.91,3.66,8.26,False
37,37,3,225,54.5355754192,2.97,2.08,4.32,7.84,False
38,38,3,225,87.49726892790001,5.23,1.7,2.88,8.48,False
39,39,6,58,67.0381111474,0.64,4.62,21.34,22.44,False
40,40,3,225,41.425174546,2.9,1.67,2.8,9.02,False
41,41,4,191,44.8825668292,0.98,2.45,6.0,10.69,True
42,42,4,194,42.1326017323,4.48,1.89,3.57,4.68,False
43,43,3,225,80.4777023717,2.02,1.99,3.96,7.52,False
44,44,4,12,60.1963443688,3.94,1.52,2.32,5.16,False
45,45,4,12,45.4173134206,3.64,1.66,2.76,10.0,False
46,46,2,216,21.0005908394,1.37,2.65,7.0,10.36,False
47,47,2,216,13.980547968900002,6.85,1.76,3.11,7.2,False
48,48,2,160,20.0020797757,4.39,1.93,3.73,4.9,False
49,49,2,216,23.4804813386,1.57,2.47,6.09,10.96,False
50,50,2,216,23.499701743400003,1.24,3.03,9.18,9.27,False
51,51,2,216,73.2195814191,1.37,2.24,5.02,7.32,False
52,52,5,164,133.474179494,0.22,3.85,14.8,32.38,False
53,53,2,216,69.0566604377,2.32,2.35,5.5,7.98,False
54,54,6,58,100.133223341,0.36,5.17,26.7,36.83,False
55,55,6,58,81.42106939930001,0.87,4.59,21.06,27.48,False
56,56,4,186,145.822681925,0.62,3.02,9.1,12.44,False
57,57,6,136,68.9778629217,4.8,1.58,2.51,5.2,False
58,58,4,194,43.677379746099994,4.16,1.86,3.46,4.52,False
59,59,6,72,189.62098689799998,3.07,1.77,3.14,4.02,False
60,60,2,225,104.957098894,3.78,1.65,2.71,5.69,False
61,61,6,194,131.151054179,1.23,3.08,9.51,9.76,True
62,62,3,225,46.820714009899994,3.39,1.97,3.86,7.42,False
63,63,2,225,75.1479181309,4.84,1.51,2.28,5.65,False
64,64,2,225,53.051373588000004,2.08,2.37,5.62,12.47,False
65,65,8,140,139.379528874,4.16,1.57,2.47,6.21,False
66,66,8,194,69.8615203909,1.22,2.36,5.58,13.13,False
67,67,2,225,69.6750949167,3.53,1.83,3.33,8.36,False
68,68,2,216,52.4182174245,1.05,2.49,6.22,10.49,False
69,69,2,225,55.731537619499996,2.5,2.16,4.65,11.87,False
70,70,2,216,24.8184374856,0.63,2.45,6.01,11.35,False
71,71,2,221,84.0887507384,1.02,2.23,4.99,10.21,False
72,72,2,216,59.952805122700006,0.51,2.99,8.96,12.93,False
73,73,3,166,76.9298023956,5.62,1.61,2.59,5.07,False
74,74,2,216,54.0138230759,2.55,2.16,4.65,7.24,False
75,75,2,225,54.7485266625,4.09,1.68,2.82,7.3,False
76,76,2,225,65.4508697092,1.55,2.57,6.59,12.96,False
77,77,3,225,120.400478586,1.96,1.78,3.18,6.61,False
78,78,6,136,175.099416521,5.35,1.65,2.74,7.16,False
79,79,12,62,179.44991098900002,3.15,2.02,4.08,12.24,False
80,80,12,62,142.71732027299998,3.03,2.11,4.45,11.58,False
81,81,8,140,184.052007165,4.22,1.59,2.54,7.0,False
82,82,8,194,67.4796816976,1.97,1.78,3.16,9.12,False
83,83,10,156,104.887738378,1.75,2.66,7.08,10.49,False
84,84,12,60,120.562062681,3.63,2.01,4.05,11.04,False
85,85,8,140,158.43139513100002,4.17,1.57,2.46,6.16,False
86,86,16,198,133.930649312,4.33,1.48,2.19,2.99,False
87,87,8,141,225.90655204599997,1.87,2.14,4.57,4.85,False
88,88,8,194,117.63881263299999,0.7,2.62,6.87,11.41,False
89,89,12,62,225.39233221599997,2.87,2.06,4.26,11.73,False
