,Unnamed: 0,oqmdid,e_form expt,e_form mp,e_form oqmd
0,0,27633.0,-0.2809,-0.30212525,-0.30750919
1,1,10665.0,-0.2715,-0.27875396,-0.28691687
2,2,,-0.2301,,
3,3,10681.0,-0.2778,-0.33641916,-0.34309354
4,4,,-0.2218,,
5,5,10639.0,-0.1752,-0.26173778,-0.26489469
6,6,,-0.2,,
7,7,10361.0,-0.1399,-0.03966432,-0.24419368
8,8,,-0.229,,
9,9,10662.0,-0.2529,-0.24710848,-0.25770733
10,10,,-0.1834,,
11,11,10660.0,-0.2052,-0.25934894,-0.26962121
12,12,10690.0,-0.0323,-0.12296924,-0.12506091
13,13,10691.0,-0.0152,-0.10909721,-0.11036623
14,14,20652.0,-0.1113,-0.11973231,-0.11913138
15,15,,-0.5597,,
16,16,10532.0,-0.6509,-0.64821439,-0.65212275
17,17,,-0.5027,,
18,18,,-0.37,,
19,19,,-0.5877,,
20,20,27924.0,-0.5607,-0.59861675,-0.60450311
21,21,647439.0,-0.6509,-0.65817815,-0.66654722
22,22,,-0.5006,,
23,23,,-0.4902,,
24,24,,-0.3746,,
25,25,,-0.3928,,
26,26,10473.0,-0.6032,-0.63745526,-0.64536214
27,27,,-0.2674,,
28,28,,-0.3804,,
29,29,,-0.2933,,
30,30,,-0.2892,,
31,31,,-0.3171,,
32,32,,-0.3545,,
33,33,,-0.256,,
34,34,,-0.3348,,
35,35,,-0.4084,,
36,36,,-0.4270000000000001,,
37,37,,-0.4301,,
38,38,,-0.454,,
39,39,,-0.2933,,
40,40,,-0.3399,,
41,41,,-0.3669,,
42,42,,-0.4436,,
43,43,,-0.5058,,
44,44,,-0.3089,,
45,45,,-0.4612,,
46,46,,-0.4944,,
47,47,,-0.2301,,
48,48,,-0.2684,,
49,49,54708.0,-0.2747,-0.33204742,-0.33175568
50,50,,-0.4239,,
51,51,10512.0,-0.4001,-0.42826975,-0.44036077
52,52,,-0.4052,,
53,53,,-0.4788,,
54,54,,-0.2943,,
55,55,,-0.5752,,
56,56,,-0.5349,,
57,57,,-0.6426,,
58,58,,-0.6544,,
59,59,,-0.5794,,
60,60,,-0.6374,,
61,61,,-0.5816,,
62,62,,-0.597,,
63,63,,-0.5896,,
64,64,,-0.5618,,
65,65,,-0.5479999999999999,,
66,66,,-0.5348,,
67,67,,-0.5304,,
68,68,10411.0,-0.5367,-0.60278819,-0.61034217
69,69,,-0.479,,
70,70,,-0.4578,,
71,71,,-0.4382,,
72,72,,-0.6051,,
73,73,,-0.4353,,
74,74,,-0.4213,,
75,75,,-0.3716,,
76,76,,-0.6093,,
77,77,,-0.5539,,
78,78,,-0.486,,
79,79,,-0.3758,,
80,80,,-0.3238,,
81,81,,-0.4208,,
82,82,10411.0,-0.5535,-0.60278819,-0.61034217
83,83,94913.0,-0.6405,-0.65864811,-0.66944636
84,84,,-0.5815,,
85,85,,-0.5675,,
86,86,,-0.426,,
87,87,,-0.4033,,
88,88,,-0.3319,,
89,89,,-0.3106,,
90,90,,-0.5317,,
91,91,,-0.5068,,
92,92,,-0.4315,,
93,93,,-0.4059,,
94,94,,-0.3888,,
95,95,,-0.3029,,
96,96,,-0.3294,,
97,97,,-0.4294,,
98,98,,-0.0685,,
99,99,,-0.2953,,
100,100,,-0.7038,,
101,101,,-0.7472,,
102,102,,-0.6247,,
103,103,,-0.6389,,
104,104,,-0.6296,,
105,105,,-0.6321,,
106,106,,-0.6692,,
107,107,,-0.8191,,
108,108,,-0.9105,,
109,109,,-0.5166,,
110,110,,-0.4337,,
111,111,,-0.1538,,
112,112,,-0.1919,,
113,113,,-0.6777,,
114,114,,-0.7476,,
115,115,,-0.8079999999999999,,
116,116,,-0.9033,,
117,117,10550.0,-0.9457,-0.8822333000000001,-0.87597428
118,118,,-0.5922,,
119,119,,-0.6382,,
120,120,,-0.7154,,
121,121,,-0.7781,,
122,122,,-0.6177,,
123,123,,-0.6156,,
124,124,,-0.6229,,
125,125,,-0.6053,,
126,126,,-0.5882,,
127,127,,-0.5721,,
128,128,,-0.5599,,
129,129,21081.0,-0.5783,-0.62052541,-0.64117697
130,130,,-0.569,,
131,131,,-0.4218,,
132,132,,-0.4995,,
133,133,,-0.2545,,
134,134,,-0.3341,,
135,135,,-0.4102,,
136,136,509949.0,-0.5,,-0.33701128
137,137,,-0.3616,,
138,138,,-0.6227,,
139,139,,-0.6825,,
140,140,,-0.8476,,
141,141,10480.0,-0.8875,-0.9453517,-0.94632008
142,142,10480.0,-0.9618,-0.9453517,-0.94632008
143,143,,-0.5559,,
144,144,,-0.6187,,
145,145,,-0.6869,,
146,146,,-0.7747,,
147,147,10797.0,-0.7887,-0.80003426,-0.8037018
148,148,10822.0,-0.8157,-0.8561513000000001,-0.86178639
149,149,28181.0,-0.7245,,-0.82187696
150,150,,-0.513,,
151,151,,-0.5959,,
152,152,28133.0,-0.6509,,-0.78051986
153,153,,-0.569,,
154,154,10795.0,-0.6654,-0.76024071,-0.76304137
155,155,28204.0,-0.7483,,-0.79399349
156,156,,-0.511,,
157,157,,-0.7224,,
158,158,28192.0,-0.7276,,-0.8085836
159,159,10816.0,-0.476,-0.42368917,-0.43286958
160,160,28225.0,-0.4581,-0.42630756,-0.44766886
161,161,10815.0,-0.3253,-0.3503004,-0.40897919
162,162,28234.0,-0.5328,,-0.49745752
163,163,28235.0,-0.6322,-0.57450582,-0.57476874
164,164,,-0.4887,,
165,165,10833.0,-0.3117,-0.34064662,-0.344695
166,166,28169.0,-0.5676,,-0.47940044
167,167,28170.0,-0.6424,-0.55926991,-0.56096042
168,168,28171.0,-0.5911,-0.53970088,-0.54374941
169,169,10733.0,-0.4224,-0.44170843,-0.43916889
170,170,,-0.1015,,
171,171,,-0.1075,,
172,172,,-0.1009,,
173,173,,-0.1385,,
174,174,,-0.2131,,
175,175,19828.0,-0.314,-0.31832568,-0.2680098
176,176,,-0.2912,-0.34174988,
177,177,31172.0,-0.2892,-0.28556185,-0.03192737
178,178,18272.0,-0.6892,-0.72223566,-0.60159683
179,179,29167.0,-0.5721,-0.65070242,-0.22961403
180,180,27547.0,-0.7307,-0.6354721999999999,-0.56776512
181,181,29155.0,-0.8115,-0.67666873,-0.76634775
182,182,18665.0,-0.7566,-0.84301504,-0.72610748
183,183,29113.0,-0.7649,-0.77569556,-0.62518661
184,184,18268.0,-1.0758,-1.09083658,-1.0789242
185,185,18795.0,-0.939,-1.01138152,-0.99678888
186,186,19222.0,-0.2166,-0.11954031,-0.11315403
187,187,19222.0,-0.1047,-0.11954031,-0.11315403
188,188,29059.0,-0.2197,-0.15003585,-0.17359366
189,189,29059.0,-0.1534,-0.15003585,-0.17359366
190,190,18811.0,-0.428,-0.39000135,-0.4096884
191,191,31202.0,-0.371,-0.30849371,-0.32129482
192,192,29537.0,-0.371,-0.28187688,-0.28789901
193,193,29534.0,-0.2736,-0.25113077,-0.26078137
