,Unnamed: 0,num_electron,latt const,tetragonality,e_form,pol fermi,mu_b,mu_b saturation
0,0,16,5.49,1.561,0.046,0.1,0.0002,0.03
1,1,16,5.43,1.5893,-0.014,36.93,0.1775,25.88
2,2,16,5.66,1.5583,0.191,34.28,0.1624,21.32
3,3,17,5.34,1.5993,-0.122,19.59,0.6638,101.12
4,4,17,5.39,1.6104,-0.087,10.09,0.7492,110.21
5,5,17,5.66,1.5565,0.032,45.39,1.0025,131.77
6,6,18,5.18,1.6911,-0.322,0.0,0.0001,0.02
7,7,18,5.31,1.6742,-0.162,0.0,0.0002,0.03
8,8,18,6.5342,0.9988,0.042,5.26,4.1965,558.68
9,9,17,6.16,1.0,-0.024,8.6,0.7065,112.12
10,10,17,6.1358,0.9952,-0.039,4.9,0.6168,99.53
11,11,17,6.3622,0.9998,0.205,18.85,0.6805,98.04
12,12,18,5.8997,1.0590000000000002,-0.253,0.03,0.0001,0.02
13,13,18,5.18,1.6564,-0.219,0.02,0.0002,0.03
14,14,18,5.8782,1.2673,-0.014,0.02,0.0002,0.03
15,15,19,5.04,1.6766,-0.4920000000000001,0.0,0.0,0.0
16,16,19,5.1770000000000005,1.6492,-0.281,0.0,0.0,0.0
17,17,19,6.32,1.0,-0.05,13.05,1.7344,254.87
18,18,18,6.03,1.0,-0.087,0.0,0.0,0.0
19,19,18,6.03,1.0,-0.097,0.0,0.0,0.0
20,20,18,6.25,1.0,0.218,0.01,0.0,0.0
21,21,19,5.72,1.1031,-0.307,0.0,0.0,0.0
22,22,19,5.68,1.1761,-0.177,0.0,0.0001,0.02
23,23,19,5.94,1.1599,0.032,0.02,0.0002,0.03
24,24,20,5.41,1.2662,-0.421,0.0,0.0,0.0
25,25,20,5.16,1.5659,-0.222,0.0,0.0,0.0
26,26,20,6.24,1.0,0.002,81.02,2.013,307.34
27,27,19,5.96,1.0,-0.052000000000000005,91.93,0.9835,172.33
28,28,19,5.6588,1.1587,-0.051,0.0,0.0,0.0
29,29,19,6.21,1.0,0.306,38.99,1.4251,220.75
30,30,20,5.568,1.1595,-0.248,0.0,0.0001,0.02
31,31,20,5.5191,1.2431,-0.103,0.0,0.0,0.0
32,32,20,6.24,1.0,0.132,71.38,1.865,284.74
33,33,21,5.0183,1.5324,-0.378,10.54,0.7036,134.78
34,34,21,5.1692,1.503,-0.127,2.95,0.6871,122.78
35,35,21,5.4071,1.4828,0.101,42.04,0.8851,140.07
36,36,20,5.96,1.0,-0.075,27.41,1.466,256.88
37,37,20,5.2009,1.4615,-0.078,22.35,0.6602,119.12
38,38,20,6.31,1.0,0.244,34.48,1.7014,251.21
39,39,21,4.9331,1.652,-0.318,13.4,1.6566,309.86
40,40,21,5.3965,1.3275,-0.157,20.92,1.1573,205.77
41,41,21,6.32,1.0,0.071,48.97,1.492,219.25
42,42,22,4.9367,1.5977,-0.47,42.86,1.815,350.26
43,43,22,5.0731,1.5509,-0.221,40.59,1.93,353.58
44,44,22,6.28,1.0,0.041,44.8,0.9135,136.82
45,45,21,4.9285,1.6927,-0.147,12.82,1.5127,276.92
46,46,21,5.0109,1.6379,-0.129,28.24,1.6169,291.04
47,47,21,6.21,1.0,0.28800000000000003,41.86,0.9985,154.67
48,48,22,5.86,1.0,-0.255,18.92,1.2041,221.97
49,49,22,5.96,1.0,-0.128,27.75,0.8354,146.38
50,50,22,5.2012,1.6185,0.014,31.81,2.016,328.39
51,51,23,4.9363,1.5625,-0.494,44.8,1.4605,288.27
52,52,23,4.9572,1.6374,-0.235,25.94,1.3832,257.25
53,53,23,5.1592,1.6446,-0.027000000000000003,22.82,1.4375,236.11
54,54,22,4.8925,1.7232,-0.221,0.14,0.0019,0.35
55,55,22,4.9264,1.6825,-0.184,0.0,0.0042,0.77
56,56,22,6.2,1.0,0.313,63.65,3.7179,578.69
57,57,23,4.8494,1.6761,-0.42,0.0,0.0,0.0
58,58,23,4.9455,1.6546,-0.264,0.29,0.0707,13.1
59,59,23,5.1370000000000005,1.6740000000000002,-0.05,3.77,0.0912,14.91
60,60,24,4.8591,1.6121,-0.5529999999999999,0.02,0.0001,0.02
61,61,24,4.9811,1.6124,-0.303,0.05,0.0007,0.13
62,62,24,5.1663,1.6342,-0.109,0.02,0.0001,0.02
63,63,23,4.9115,1.7241,-0.29100000000000004,0.0,0.0,0.0
64,64,23,4.952,1.6784,-0.25,0.0,0.0,0.0
65,65,23,5.1417,1.6933,0.052000000000000005,0.0,0.0,0.0
66,66,24,4.9295,1.6188,-0.461,0.0,0.0,0.0
67,67,24,5.0215,1.6023,-0.32299999999999995,0.0,0.0,0.0
68,68,24,5.1991,1.6346,-0.139,0.0,0.0,0.0
69,69,25,4.9483,1.5557,-0.556,0.0,0.0,0.0
70,70,25,5.0667,1.557,-0.335,0.01,0.0,0.0
71,71,25,5.239,1.5891,-0.16699999999999998,0.0,0.0,0.0
72,72,18,6.3429,1.0001,0.119,93.06,5.9142,859.64
73,73,18,6.31,1.0,0.138,88.23,5.8512,863.94
74,74,18,6.56,1.0,0.265,92.46,5.9213,778.1
75,75,19,6.1227,1.0004,-0.035,78.57,4.937,797.6
76,76,19,6.21,1.0,0.049,78.76,4.9294,763.57
77,77,19,6.47,1.0,0.081,87.85,4.9609,679.48
78,78,20,5.9823,1.0004,-0.08800000000000001,95.99,3.9738,688.25
79,79,20,6.1469,0.9949,0.066,96.85,3.9852,639.75
80,80,20,6.3895,0.9995,0.083,98.13,3.997,568.67
81,81,19,6.096,1.0002,-0.008,28.16,4.4399,726.9
82,82,19,6.0763,1.0004,0.016,39.51,4.3226,714.45
83,83,19,6.35,1.0,0.241,68.08,4.7330000000000005,685.71
84,84,20,5.91,1.0,-0.252,15.92,3.0466,547.49
85,85,20,6.0,1.0,-0.114,18.73,3.318,569.84
86,86,20,6.2865,0.9988,0.016,81.83,3.8602,577.05
87,87,21,5.7976,1.0001,-0.362,5.2,2.5318,481.92
88,88,21,5.9565,1.0017,-0.136,65.11,2.9461,516.24
89,89,21,6.2179,0.999,-0.033,86.72,2.9913,462.02
90,90,20,5.93,1.0,-0.055,31.65,2.6887,478.31
91,91,20,5.93,1.0,-0.02,6.48,2.8109,500.04
92,92,20,6.25,1.0,0.272,46.41,3.7257,566.1
93,93,21,5.81,1.0005,-0.28800000000000003,53.98,2.8966,547.62
94,94,21,5.9082,1.0,-0.115,83.36,2.9515,530.88
95,95,21,6.18,1.0,0.078,64.35,2.9765,467.81
96,96,22,5.66,1.0,-0.364,13.01,0.3656,74.8
97,97,22,5.84,1.0,-0.071,23.18,1.7736,330.33
98,98,22,6.11,1.0,0.103,93.35,1.9941,324.3
99,99,21,5.9114,1.0002,-0.021,64.28,2.9205,524.38
100,100,21,5.92,1.0,0.035,46.04,2.8754,514.11
101,101,21,6.25,1.0,0.344,68.56,2.9604,449.82
102,102,22,5.73,1.0,-0.16899999999999998,41.4,1.8813,370.96
103,103,22,5.86,1.0,0.032,92.88,1.9746,364.01
104,104,22,6.2051,0.9983,0.239,99.84,1.9997,311.0
105,105,23,5.6071,1.0028,-0.201,0.0,0.0,0.0
106,106,23,5.84,1.0,0.083,90.67,0.9754,181.67
107,107,23,6.14,1.0,0.265,99.93,1.0,160.26
108,108,22,5.9167,0.9999,0.002,97.35,1.9932,357.03
109,109,22,5.9347,1.0013,0.04,89.59,1.9515,345.9
110,110,22,6.27,1.0,0.337,62.99,2.0343,306.15
111,111,23,5.78,1.0,-0.162,84.44,0.9306,178.77
112,112,23,5.91,1.0,-0.006999999999999999,92.23,0.9588,172.3
113,113,23,6.21,1.0,0.181,95.76,0.9905,153.43
114,114,24,5.6774,0.9993,-0.268,41.82,0.397,80.54
115,115,24,5.85,1.0,-0.006,80.55,0.0447,8.28
116,116,24,6.13,1.0,0.171,95.17,0.0011,0.18
117,117,23,5.8518,0.9991,0.099,82.06,4.9857,923.78
118,118,23,5.89,1.0,0.11,50.67,0.8541,155.06
119,119,23,6.16,1.0,0.45,53.19,0.9688,153.75
120,120,24,5.7185,1.0021,-0.134,5.54,0.7815,154.7
121,121,24,5.84,1.0,0.049,40.46,0.1578,29.39
122,122,24,5.0667,1.6458,0.292,47.51,1.0825,187.6
123,123,25,5.6248,0.9997,-0.223,13.2,1.6627,346.69
124,124,25,5.8006,0.9947,0.076,0.02,1.1509,219.91
125,125,25,6.06,1.0,0.29600000000000004,61.58,0.8395,139.94
126,126,24,5.8919,0.9986,0.125,75.95,5.7597,1046.02
127,127,24,5.8906,1.001,0.162,79.2,5.7819,1048.29
128,128,24,6.1978,1.001,0.477,66.54,6.9038,1074.68
129,129,25,4.7767,1.6358,-0.265,0.0,0.0,0.0
130,130,25,4.8726,1.6211,-0.052000000000000005,0.0,0.0,0.0
131,131,25,6.19,1.0,0.319,83.49,7.0093,1096.3
132,132,26,5.5397,1.0331,-0.16,34.48,0.4985,105.29
133,133,26,4.9214,1.5768,0.014,57.4,0.5348,105.56
134,134,26,5.1399,1.5723,0.224,66.97,0.7158,124.38
135,135,25,6.0,1.0,0.153,66.55,6.686,1148.26
136,136,25,5.99,1.0,0.16899999999999998,68.79,6.5147,1124.45
137,137,25,6.3,1.0,0.409,26.7,7.4137,1099.87
138,138,26,4.8237,1.6169,-0.215,0.0,0.0,0.0
139,139,26,4.9228,1.598,-0.031,7.82,0.078,15.18
140,140,26,6.27,1.0,0.273,0.79,7.093,1067.47
141,141,27,5.4831,1.0761,-0.191,0.0,0.0001,0.02
142,142,27,5.0664,1.4838,0.043,69.21,1.7279,332.19
143,143,27,5.1789999999999985,1.5627,0.215,65.14,1.894,323.66
144,144,20,6.16,1.0,-0.111,88.78,4.0054,635.67
145,145,20,5.63,1.3677,-0.111,31.71,5.4082,822.0
146,146,20,6.52,1.0,0.056,37.22,5.9553,797.05
147,147,21,5.9449,1.0011,-0.25,93.9,2.9809,525.72
148,148,21,6.04,1.0,-0.128,84.94,2.9786,501.45
149,149,21,6.48,1.0,-0.083,47.79,5.6623,771.96
150,150,22,5.82,1.0,-0.313,96.18,1.9888,374.24
151,151,22,5.975,0.9998,-0.117,96.41,1.9852,345.29
152,152,22,6.2319,0.9996,-0.067,97.14,1.9879,304.81
153,153,21,5.95,1.0,-0.338,75.34,2.9865,525.94
154,154,21,5.94,1.0,-0.28600000000000003,77.07,2.9726,526.14
155,155,21,6.22,1.0,-0.013,12.55,3.184,490.83
156,156,22,5.77,1.0,-0.535,93.46,1.9832,382.97
157,157,22,5.87,1.0,-0.35100000000000003,94.28,1.9721,361.69
158,158,22,6.13,1.0,-0.17,96.98,1.9841,319.53
159,159,23,5.6621,1.0001,-0.614,0.09,0.0044,0.9
160,160,23,5.82,1.0,-0.34600000000000003,70.55,0.9519,179.12
161,161,23,6.07,1.0,-0.214,88.3,0.976,161.89
162,162,22,5.8019,0.9994,-0.31,98.05,1.9994,379.98
163,163,22,5.8044,1.001,-0.225,94.78,1.9786,374.95
164,164,22,6.25,1.0,0.093,7.49,4.1104,624.56
165,165,23,5.65,1.0,-0.517,73.16,0.9657,198.62
166,166,23,5.75,1.0,-0.278,84.97,0.9628,187.87
167,167,23,6.01,1.0,-0.018000000000000002,93.53,0.9941,169.88
168,168,24,5.5664,0.9999,-0.5479999999999999,3.35,0.0018,0.39
169,169,24,5.7203,0.9994,-0.225,0.03,0.0,0.0
170,170,24,5.9686,0.9999,-0.031,0.0,0.0,0.0
171,171,23,5.72,1.0,-0.155,91.76,1.0406,206.26
172,172,23,5.4019,1.2832,-0.061,58.23,2.7269,500.11
173,173,23,6.31,1.0,0.243,53.3,3.7636,555.7
174,174,24,5.5899,0.9988,-0.327,0.04,0.0002,0.04
175,175,24,5.72,1.0,-0.063,95.68,0.0156,3.09
176,176,24,5.61,1.3316,0.092,88.95,2.028,320.0
177,177,25,5.55,1.0,-0.335,87.89,1.0108,219.34
178,178,25,5.2188,1.4032,-0.055,13.48,1.4207,264.25
179,179,25,5.52,1.3623,0.104,9.78,1.1809,191.18
180,180,24,5.3644,1.307,-0.136,55.07,1.7039,313.27
181,181,24,5.35,7.09,-0.104,58.98,1.7624,60.22
182,182,24,5.6,1.3464,0.179,67.32,1.9188,301.03
183,183,25,5.64,1.0,-0.328,95.93,1.0071,208.24
184,184,25,5.2882,1.3430000000000002,-0.14800000000000002,72.35,0.9943,185.71
185,185,25,5.5637,1.3377,0.033,85.16,1.0435,168.02
186,186,26,5.55,1.0,-0.399,95.56,2.0003,434.05
187,187,26,5.71,1.0,-0.097,92.89,2.002,398.92
188,188,26,5.4041,1.4378,0.049,11.82,1.133,185.22
189,189,25,5.2194,1.3645,-0.07200000000000001,29.28,5.1686,988.26
190,190,25,5.87,1.0,-0.036000000000000004,48.52,7.3108,1340.84
191,191,25,6.16,1.0,0.234,29.41,8.0256,1273.69
192,192,26,5.599,1.0002,-0.265,25.04,2.104,444.57
193,193,26,5.3788,1.2613,-0.058,54.12,6.4483,1218.73
194,194,26,5.75,1.2104,0.08800000000000001,32.05,7.3279,1181.3
195,195,27,5.55,1.0,-0.294,44.63,2.8161,611.08
196,196,27,5.0395,1.4881,-0.02,22.65,2.2138,431.17
197,197,27,5.2938,1.4767,0.13,11.14,7.1437,1209.64
198,198,26,5.89,1.0,-0.14400000000000002,4.85,7.5559,1371.73
199,199,26,5.91,1.0,-0.086,28.99,7.7951,1400.83
200,200,26,6.19,1.0,0.165,30.43,8.1582,1276.0
201,201,27,4.8959,1.4978,-0.257,46.4,2.1643,456.77
202,202,27,5.86,1.0,-0.009000000000000001,56.26,7.1538,1318.78
203,203,27,5.5362,1.3506,0.052000000000000005,44.8,7.3015,1181.89
204,204,28,5.5092,0.9993,-0.238,0.09,0.3986,88.49
205,205,28,5.1779,1.3982,-0.028,34.13,5.8381,1115.76
206,206,28,5.4292,1.4102,0.076,62.81,6.874,1129.94
207,207,27,5.92,1.0,-0.097,50.48,6.8174,1218.94
208,208,27,5.3911,1.3223,-0.098,52.97,6.6725,1194.72
209,209,27,6.25,1.0,0.157,46.99,7.7576,1178.73
210,210,28,5.1434,1.3706,-0.266,18.3,4.9589,986.39
211,211,28,5.2653,1.3665,-0.129,26.27,5.6529,1051.31
212,212,28,5.4657,1.4094,-0.011,49.61,6.3444,1022.67
213,213,29,5.53,1.0,-0.261,0.0,0.0001,0.02
214,214,29,5.2002,1.4034,-0.096,13.81,5.3638,1008.23
215,215,29,5.3953,1.4396,-0.008,49.95,5.8538,960.44
216,216,22,6.02,1.0,-0.197,92.85,1.9221,326.82
217,217,22,6.01,1.0,-0.14,93.61,1.9142,327.11
218,218,22,6.37,1.0,0.039,56.37,3.8266,549.19
219,219,23,5.85,1.0,-0.387,91.16,0.9336,172.99
220,220,23,5.95,1.0,-0.246,90.53,0.9044,159.27
221,221,23,6.2048,1.0005,-0.162,86.4,0.8989,139.52
222,222,24,5.75,1.0,-0.484,0.0,0.0,0.0
223,223,24,5.9,1.0,-0.28800000000000003,0.0,0.0,0.0
224,224,24,6.15,1.0,-0.253,0.0,0.0002,0.03
225,225,23,5.82,1.0,-0.465,88.76,0.9442,177.67
226,226,23,5.83,1.0,-0.377,87.03,0.9086,170.1
227,227,23,6.07,1.0,-0.059,88.28,0.9466,157.01
228,228,24,5.685,1.0001,-0.706,0.0,0.0,0.0
229,229,24,5.78,1.0,-0.494,0.0,0.0,0.0
230,230,24,6.0338,1.0,-0.304,0.0,0.0007,0.12
231,231,25,5.65,1.0,-0.6,100.0,1.0,205.68
232,232,25,5.8,1.0,-0.354,100.0,1.0,190.13
233,233,25,6.04,1.0,-0.264,100.0,1.0022,168.72
234,234,24,5.6925,1.0001,-0.4270000000000001,0.0,0.0,0.0
235,235,24,5.7084,1.0,-0.299,0.0,0.0,0.0
236,236,24,5.9606,0.9999,0.107,0.0,0.0,0.0
237,237,25,5.61,1.0,-0.489,81.91,0.8056,169.26
238,238,25,5.59,1.0698,-0.249,78.36,0.8652,171.76
239,239,25,5.98,1.0,-0.02,66.79,0.882,153.0
240,240,26,5.181,1.2439,-0.414,0.0,0.0,0.0
241,241,26,5.3037,1.253,-0.134,0.0,0.0,0.0
242,242,26,5.99,1.0,0.01,66.39,1.8343,316.6
243,243,25,5.6599,1.0,-0.16699999999999998,95.02,0.9978,204.15
244,244,25,5.68,1.0,-0.033,100.0,1.0013,202.7
245,245,25,5.4620000000000015,1.3928,0.302,87.34,0.912,149.06
246,246,26,5.4678,1.0659,-0.266,99.38,2.0,425.78
247,247,26,5.62,1.0409,-0.031,100.0,2.0,401.54
248,248,26,5.9688,0.9999,0.18600000000000005,99.91,2.0011,349.11
249,249,27,5.062,1.3152,-0.245,67.17,1.0625,231.04
250,250,27,5.22,1.3065,0.046,51.19,0.1825,36.43
251,251,27,5.756,1.1068,0.173,99.98,3.0,527.27
252,252,26,5.6711,1.0002,-0.038,0.01,0.0001,0.02
253,253,26,5.6969,1.0001,-0.075,74.25,2.0329,407.84
254,254,26,5.4,1.4278,0.236,30.29,0.2034,33.56
255,255,27,5.5942,0.9951,-0.34,100.0,3.0,638.77
256,256,27,5.7226,0.9839,-0.114,96.99,3.0081,605.16
257,257,27,5.9606,0.9992,0.107,0.23,5.597,981.2
