,Unnamed: 0,epsilon_x opt,epsilon_y opt,epsilon_z opt,exfoliation_en,e_form,gap tbmbj,epsilon_x tbmbj,epsilon_y tbmbj,epsilon_z tbmbj,gap opt
0,0,10.3295,10.3295,7.0367,63.59383333333302,-0.624,,,,,0.0341
1,1,4.7325,5.6477,2.6267,134.86375000000007,0.16,,,,,0.7467
2,2,6.4357,5.2377,3.0069999999999997,43.114666666666864,-2.231,,,,,0.0023
3,3,9.3915,9.3915,4.2669,240.7154875,0.24,,,,,0.0266
4,4,2.7367,2.7367,2.0162,67.44283333333368,-2.245,,,,,0.0484
5,5,2.303,2.4367,2.2339,66.30685000000014,-1.306,4.3469999999999995,2.0666,2.1851,1.9995,2.2826
6,6,2.3318,2.4729,2.2521,45.9423750000001,-2.04,,,,,1.8234
7,7,37.3468,37.3472,3.5319,89.47600000000034,-0.04,0.0203,39.0126,43.907,3.3777,0.5289
8,8,2.8944,2.8944,2.7008,36.73083333333338,-1.7690000000000001,,,,,1.3309
9,9,2.1019,2.3753,1.8636,76.13090000000078,-0.598,,,,,1.1115
10,10,,,,62.79912499999973,-1.5519999999999998,,,,,
11,11,26.5044,26.5044,3.2882,57.381499999999974,-1.768,,,,,0.0132
12,12,15.700999999999999,9.585,2.0206,1.6598333333330828,-0.925,,,,,1.3905
13,13,2.0382,2.0382,2.0954,88.70622750000003,-0.11599999999999999,,,,,1.9771
14,14,16.7072,16.7072,2.6201,85.1118666666666,0.102,,,,,0.0281
15,15,2.9142,2.9246,2.3904,74.06065000000028,-0.698,1.224,2.7887,2.8445,2.2781,1.1027
16,16,2.847,2.6254,2.2545,42.066166666666405,-1.726,2.123,2.6185,2.4318,2.1158,1.9056
17,17,1.9965,1.9948,1.8948,77.39025,-0.752,3.4241,1.8747,1.8709,1.6458,2.8824
18,18,7.6242,7.6242,5.4266,44.368500000000026,-1.0590000000000002,,,,,0.07400000000000001
19,19,2.0545,2.0545,1.9386,92.2688749999998,-1.381,,,,,2.8984
20,20,28.6941,25.369,5.336,80.4718750000002,-0.26899999999999996,,,,,0.0081
21,21,12.9578,12.9578,2.5256,81.84250000000004,-0.217,,,,,0.019
22,22,1.4121,1.3904,1.4634,68.47100000000061,-2.362,,,,,2.7324
23,23,14.1627,14.1627,2.0511,66.60233333333298,-0.925,,,,,1.4092
24,24,2.3341,2.3263,2.1986,81.01406249999998,-0.667,3.4053,2.0267,2.0242,1.8498,2.998
25,25,2.0335,2.0335,2.0131,37.0238333333326,-3.091,,,,,2.6996
26,26,1.6784,1.6784,1.7464,70.60972727272753,-1.9169999999999998,,,,,4.0791
27,27,1.8997,1.8997,1.8105,87.05199999999991,-1.882,,,,,3.21
28,28,10.3175,16.3776,1.6877,68.94950000000044,-0.752,0.0051,11.8111,35.4298,1.6746,0.0161
29,29,19.8793,21.8199,3.3356,113.1188333333335,-0.6920000000000001,,,,,0.0075
30,30,4.4729,4.4729,3.5123,25.958624999999905,0.063,,,,,0.9862
31,31,2.9013,2.9013,5.9349,49.87433333333336,0.214,,,,,0.0087
32,32,11.7028,11.7028,1.6914,58.829666666667,-2.2880000000000003,,,,,0.1437
33,33,1.6941,1.6941,2.2018,49.33549999999976,-0.09300000000000001,,,,,0.9469
34,34,1.942,1.942,2.0512,161.29653333333314,-0.485,,,,,1.9231
35,35,26.9886,26.9886,8.6294,400.6573333333332,0.026000000000000002,,,,,0.0579
