,Unnamed: 0,e_form,e_hull,vpa,gap pbe,a,b,c,alpha,beta,gamma,e_form oxygen
0,0,-2.732,0.848,20.836,0.332,4.705,4.705,4.705,90.0,90.0,90.0,3.15
1,1,-1.957,-0.055,14.485,0.0,5.779,6.077000000000001,8.248,90.0,90.0,90.0,0.8170000000000001
2,2,-3.532,-0.11,11.487,4.307,3.858,3.858,3.858,90.0,90.0,90.0,6.695
3,3,-2.398,0.224,14.355,0.0,5.78,6.0120000000000005,8.262,90.0,90.0,90.0,3.634
4,4,-2.006,-0.056,15.19,0.745,5.899,6.75,7.63,90.0,90.0,90.0,0.807
5,5,-2.316,0.7859999999999999,10.075,1.071,3.693,3.693,3.693,90.0,90.0,90.0,4.163
6,6,-2.741,0.221,20.944000000000006,0.0,6.315,6.356,10.436,90.0,90.0,90.0,-1.771
7,7,-2.715,0.262,10.639,0.0,3.761,3.761,3.761,90.0,90.0,90.0,-0.08
8,8,-2.5,0.027000000000000003,17.182000000000002,1.639,6.09,6.415,8.796,90.0,90.0,90.0,2.653
9,9,-2.964,0.117,15.873,0.0,5.994,6.269,8.448,90.0,90.0,90.0,-1.025
10,10,-2.224,0.061,15.094,0.0,5.84,6.199,8.338,90.0,90.0,90.0,0.264
11,11,-2.864,0.6859999999999999,19.228,1.439,4.581,4.581,4.581,90.0,90.0,90.0,4.197
12,12,-2.426,-0.01,11.94,0.0,5.522,5.522,5.522,60.1,60.1,60.1,3.33
13,13,-3.138,-0.107,12.5,1.817,5.593999999999999,5.638999999999999,7.925,90.0,90.0,90.0,5.121
14,14,-1.602,0.752,19.919,0.0,4.178999999999999,4.178999999999999,5.702000000000001,90.0,90.0,90.0,-1.411
15,15,-2.241,-0.077,11.892,0.0,5.5089999999999995,5.528,7.809,90.0,90.0,90.0,1.596
16,16,-3.712,0.002,15.895,4.542,5.989,6.176,8.595,90.0,90.0,90.0,5.48
17,17,-3.748,-0.01,15.547,4.544,5.96,6.122999999999999,8.521,90.0,90.0,90.0,5.682
18,18,-3.04,0.108,16.695,0.0,6.0329999999999995,6.3,8.783999999999999,90.0,90.0,90.0,-0.381
19,19,-2.7310000000000003,-0.116,12.687,0.906,5.63,5.655,7.97,90.0,90.0,90.0,4.135
20,20,-2.914,-0.073,12.393,3.174,5.584,5.622000000000001,7.895,90.0,90.0,90.0,5.294
21,21,-3.67,0.016,16.276,4.335,6.029,6.225,8.673,90.0,90.0,90.0,5.268
22,22,-2.547,0.093,13.62,0.0,5.744,5.816,8.154,90.0,90.0,90.0,3.511
23,23,-3.414,0.104,14.273,0.0,5.773,5.94,8.324,90.0,90.0,90.0,5.504
24,24,-1.951,0.021,15.992,0.0,5.817,6.68,8.231,90.0,90.0,90.0,0.336
25,25,-3.731,-0.004,15.716,4.552,5.975,6.152,8.551,90.0,90.0,90.0,5.577000000000001
26,26,-2.748,-0.036000000000000004,14.775,2.695,5.857,6.035,8.359,90.0,90.0,90.0,3.988
27,27,-2.194,0.075,13.405,0.754,5.6160000000000005,5.907,8.082,90.0,90.0,90.0,1.277
28,28,-1.973,0.394,19.767,0.0,6.346,6.434,9.682,90.0,90.0,90.0,-2.742
29,29,-2.983,0.6629999999999999,18.986,1.423,4.562,4.562,4.562,90.0,90.0,90.0,4.187
30,30,-2.248,0.223,11.628,0.0,3.8739999999999997,3.8739999999999997,3.8739999999999997,90.0,90.0,90.0,-0.334
31,31,-3.793,-0.022,15.05,4.709,5.905,6.047000000000001,8.429,90.0,90.0,90.0,5.945
32,33,-2.918,-0.12,12.612,0.0,5.612,5.655,7.9479999999999995,90.0,90.0,90.0,4.0939999999999985
33,34,-2.638,0.121,13.687,0.0,5.684,5.914,8.142999999999999,90.0,90.0,90.0,4.549
34,36,-2.955,0.081,13.985,0.0,5.7170000000000005,5.966,8.201,90.0,90.0,90.0,4.9460000000000015
