,Unnamed: 0,epsilon_x opt,epsilon_y opt,epsilon_z opt,e_form,shear modulus,bulk modulus,gap tbmbj,epsilon_x tbmbj,epsilon_y tbmbj,epsilon_z tbmbj,gap opt
0,75,21.0673,29.1228,17.6066,0.025,19.993,34.556,0.6495,15.0619,14.9875,12.4788,0.0221
1,80,13.8023,38.1854,35.5515,-1.1840000000000002,25.666999999999998,78.47800000000001,0.0083,16.5818,61.5222,53.1874,0.0038
2,83,6.3933,6.9466,6.3796,-2.086,52.42,75.067,2.4642,5.2402,5.8492,5.3897,1.9202
3,92,6.0838,6.0838,6.5652,-0.204,5.947,17.477999999999998,2.7025,4.532,4.5323,4.9101,1.2599
4,95,7.0316,6.3127,5.2274,-1.768,37.12,54.633,2.2441,6.0366,5.526,4.6886,1.8723
5,96,4.6738,4.746,4.7722,-0.83,9.047,16.378,3.7113,3.6685,3.7637,3.7977,2.3104
6,99,5.0636,5.0798,4.9797,-1.473,7.687,12.578,2.8863,5.5443,5.5399,5.5646,2.676
7,103,2.8447,2.9459,2.7976,-2.43,73.973,110.656,6.9515,2.4188,2.4769,2.375,5.1686
8,108,4.9033,5.1118,5.1243,-1.969,38.96,96.3,4.4734,3.6415,3.7771,3.7842,2.9829
9,115,16.975,14.0779,15.5189,-0.716,43.8,80.133,0.0117,17.6582,21.64,18.3388,0.0087
10,128,21.6069,17.871,9.4035,-2.4619999999999997,39.967,52.911,0.0398,16.8429,16.5281,8.6016,0.0183
11,147,15.9311,13.5657,12.0806,-1.598,61.986999999999995,118.77799999999999,0.0119,19.3239,17.4822,14.7369,0.0076
12,150,4.9601,3.9724,4.4844,-2.95,30.487,47.711000000000006,3.6468,4.5442,3.6186,4.2364,3.2224
13,156,27.698,27.698,5.5489999999999995,-0.9109999999999999,24.147,51.611000000000004,0.0245,48.4266,48.426,4.081,0.0089
14,159,4.319,3.6065,3.5534,-2.73,13.5,19.767,3.4649,3.8098,3.1841,3.1132,3.1375
15,161,3.5187,3.5187,3.5265,-1.1640000000000001,12.42,22.6,6.0306,2.8036,2.8039,2.8125,3.7581
16,178,4.3496,4.2638,4.3731,-2.657,61.367,124.344,5.3239,3.535,3.5175,3.555,4.2842
17,180,5.1787,5.9717,5.9718,-2.465,40.733000000000004,84.656,3.4989,4.4275,5.0012,5.0002,2.8374
18,186,3.928,4.0678,4.1254,-1.743,7.013,13.122,4.1072,3.4902,3.6234,3.6247,3.1541
19,187,5.3343,5.5607,5.6503,-1.188,8.16,14.933,3.7491,4.4932,4.6513,4.7254,2.8989
20,188,3.9995,4.0098,3.864,-1.964,6.792999999999999,13.422,4.3189,3.6694,3.7336,3.5414,3.5904
21,189,5.2574,5.2574,4.6912,-2.844,27.026999999999997,41.511,4.76,4.5549,4.5548,4.1352,3.6792
22,196,5.551,5.551,5.2491,-0.925,7.693,12.122,2.3223,5.3705,5.3709,4.9242,1.3183
23,208,6.167000000000001,6.167000000000001,9.7916,-1.0979999999999999,50.687,105.844,1.0558,4.2854,4.2855,4.8006,0.2346
24,214,4.8053,4.7961,4.0887,-1.591,61.047,102.87799999999999,3.1709,3.4721,3.467,3.0573,1.6183
25,215,48.2412,62.8796,62.8796,-1.5819999999999999,45.6,141.267,0.0099,47.757,106.5028,108.2154,0.006
26,218,7.5254,7.5254,7.8505,-0.7070000000000001,25.58,40.467,2.4943,5.8825,5.8721,5.5898,1.4183
27,219,5.3461,4.8421,5.0575,-0.752,8.887,15.344000000000001,2.5808,4.2366,3.9783,4.1306,1.7003
28,221,1.8334,1.8334,1.8384,-3.444,25.846999999999998,25.410999999999998,12.2763,1.4986,1.4987,1.501,8.7016
29,223,3.0691,3.0691,3.0691,-3.025,168.68,215.733,9.2298,2.6415,2.6415,2.6415,7.2929
30,224,2.4758,2.4758,2.4758,-1.314,5.4,11.2,9.685,2.0479,2.0478,2.0478,6.931
31,225,3.1247,3.0169,3.0169,-2.526,15.907,36.510999999999996,6.7646,2.7202,2.6675,2.6674,5.2887
32,226,3.0838,3.0838,3.0208,-3.465,28.553,55.622,7.9106,2.6402,2.6402,2.6496,5.9497
33,227,3.4135,3.4135,3.3099,-3.275,26.34,48.0,6.8525,3.01,3.01,2.9397,5.2929
34,228,3.1933,3.1933,3.1933,-2.627,16.46,38.533,7.6257,2.7605,2.7575,2.7716,5.4985
35,229,3.1749,3.0666,3.0785,-2.53,15.28,27.967,6.8598,2.7707,2.7245,2.7302,5.4217
36,230,3.2795,3.2795,3.1755,-3.392,32.22,60.867,7.4697,2.8351,2.8353,2.7815,5.6518
37,231,1.6827,1.6685,1.8363,-2.326,12.127,41.244,12.0666,1.3936,1.3796,1.5447,7.136
38,232,11.7745,11.6497,9.6191,-1.11,24.253,62.788999999999994,1.7315,8.6419,8.5205,7.3146,0.9351
39,233,3.2126,3.2698,3.3081,-0.96,7.353,14.255999999999998,5.51,2.4165,2.4663,2.3443,3.1677
40,234,2.6245,2.645,2.6133,-1.3119999999999998,5.78,13.267000000000001,2.3712,2.221,2.2411,2.1898,1.5121
41,235,2.8368,2.7043,2.7475,-2.2,9.493,15.189,7.6286,2.0887,2.0009,2.0252,5.1841
42,237,2.4027,2.5008,2.4895,-3.947,43.673,82.089,6.8501,2.0111,2.1152,2.106,5.7629
43,238,2.2071,2.2934,2.4001,-1.379,5.68,9.367,8.0315,1.8651,1.9369,2.0253,6.6884
44,239,2.0569,2.0569,2.0569,-3.365,30.673000000000002,55.68899999999999,10.5503,1.7182,1.7184,1.72,6.9563
45,240,7.4391,7.4391,7.4391,-0.877,43.4,54.633,2.2495,6.4876,6.4876,6.4876,1.7383
46,241,3.302,3.302,3.302,-0.504,13.18,23.666999999999998,5.67,2.7254,2.7253,2.7253,4.3683
47,242,3.6784,3.6660000000000004,3.6615,-0.76,11.373,23.421999999999997,5.2295,2.7833,2.7457,2.7323,3.386
48,243,8.9623,7.5465,7.5465,-0.897,17.867,28.444000000000003,2.1841,7.6485,6.587000000000001,6.587000000000001,1.7816
49,244,2.5621,2.5621,2.5621,-1.86,10.36,31.666999999999998,2.0085,2.146,2.146,2.146,1.4341
50,245,7.4258,7.3098,7.3649,-1.7930000000000001,34.306999999999995,53.078,2.15,6.3523,6.2753,6.3125,1.6253
51,246,4.888,4.888,4.888,-0.841,89.82,103.8,3.6553,4.1195,4.1194,4.1194,2.7861
52,247,11.8112,9.3666,9.3666,-0.79,15.273,25.555999999999997,1.245,9.1277,7.5115,7.5116,0.6876
53,248,2.5262,2.5262,2.5262,-1.015,6.973,21.555999999999997,4.2391,2.1101,2.1101,2.11,3.0425
54,250,2.1714,2.1686,2.1835,-3.176,21.42,21.066999999999997,8.0642,1.7333,1.7317,1.7403,5.4907
55,251,3.6921,3.6921,4.6059,-0.1,9.793,26.355999999999998,1.886,2.7741,2.7741,3.3068,0.9323
56,252,24.083000000000002,24.083000000000002,24.083000000000002,-0.37,63.48,169.3,0.4203,23.2336,23.2336,23.2336,0.4191
57,256,1.9737,1.9737,1.9509999999999998,-3.556,34.946999999999996,68.578,10.411,1.6478,1.6477,1.6419,7.2302
58,257,4.7652,6.0813,6.2277,-2.68,35.52,117.367,0.6514,3.4808,6.2301,4.0985,0.3883
59,258,5.7228,4.5302,4.3792,-1.242,32.227,66.311,1.5667,4.8761,3.8131,3.5987,1.4642
60,260,2.8639,2.9117,3.9994,-0.58,27.113000000000003,49.056000000000004,5.7709,2.3124,2.3475,3.0887,3.3747
61,262,7.8656,7.8655,6.7238,-1.429,32.253,47.821999999999996,1.0441,5.3534,5.3534,4.419,0.376
62,263,2.0818,2.0818,2.0581,-3.571,39.347,67.811,9.968,1.7644,1.7642,1.751,7.3635
63,264,4.853,4.5573,4.5574,-1.786,99.26,186.2,2.3930000000000002,3.5374,3.3111,3.3112,0.8947
64,267,3.2892,3.2892,3.2892,-2.617,19.6,41.367,2.6932,3.6586,3.6273,3.5185,0.7397
65,268,2.3149,2.3132,2.3288,-2.883,34.88,20.167,8.4305,1.9343,1.9324,1.9468,5.8315
66,269,2.1976,2.1928,2.1935,-2.8689999999999998,30.84,25.533,8.6578,1.8422,1.8359,1.8368,5.7402
67,270,6.3767,6.3311,6.632999999999999,-3.2430000000000003,65.107,189.078,3.0423,5.4668,5.4576,5.7471,2.6815
68,274,2.2864,2.2848,2.2909,-2.878,26.987,25.578000000000003,8.4018,1.9116,1.91,1.9128,5.7034
69,276,3.282,3.282,3.282,-2.484,8.96,40.533,2.4611,2.6819,2.6611,2.5844,0.0609
70,278,6.175,6.1739,6.2161,-0.884,33.053000000000004,72.156,3.6249,4.7669999999999995,4.7656,4.8175,2.1197
71,284,2.6634,4.7379,2.3895,-0.636,4.58,16.8,4.4632,2.068,3.6102,1.9129,2.6405
72,288,8.8431,8.6994,8.0025,-0.502,22.733,35.756,1.6956,7.9435,7.7946,7.0694,0.9011
73,294,16.288,16.288,16.288,-3.2569999999999997,52.7,89.93299999999999,2.3452,2.1129,2.0205,2.029,0.9689
74,295,3.2497,3.6912,3.4415,-1.041,5.9270000000000005,17.410999999999998,3.443,2.4803,2.7887,2.6364,1.6518
75,298,4.6702,4.6702,4.5742,-1.837,9.36,21.033,3.8061,3.8466,3.8468,3.7061,3.0971
76,302,2.8602,2.8602,2.8602,-2.552,4.32,8.5,4.6971,2.5068,2.5068,2.5068,4.1506
77,303,21.0256,21.2871,19.7252,-1.486,30.413,58.056000000000004,1.015,48.8768,49.9014,44.3929,0.9156
78,305,24.96,24.2139,28.7251,-2.053,16.2,35.867,1.5772,20.269000000000002,20.2959,21.1304,0.7563
79,306,2.1959999999999997,2.1959999999999997,2.2030000000000003,-2.8689999999999998,49.62,51.933,8.5061,1.8415,1.8415,1.8358,5.5433
80,309,2.1226,2.1268,2.1217,-2.858,16.407,15.411,8.8854,1.7203,1.7239,1.7196,5.6771
81,311,2.8675,2.4135,2.3088,-1.758,11.232999999999999,20.156,8.1311,2.2261,1.9611,1.8937,5.8331
82,312,16.4165,15.2535,21.9492,-2.1390000000000002,31.193,38.955999999999996,2.8153,25.741999999999997,23.358,36.4967,1.1443
83,313,6.1468,6.1468,6.2521,-0.882,32.68,72.167,3.6647,4.7377,4.7377,4.8244,2.1391
84,317,5.9937,3.5906,3.9653,-2.71,70.393,127.322,0.5579999999999999,5.3441,2.0337,2.4479,0.2421
85,319,19.5415,19.3128,5.499,-2.438,20.44,49.533,0.0497,22.9277,22.6616,5.7019,0.036000000000000004
86,320,3.0589,3.0125,3.0128,-1.048,12.02,18.067,6.9329,2.4402,2.4168,2.4168,5.3362
87,325,6.0117,6.0117,5.9029,-0.581,9.187000000000001,19.578,3.4561,4.525,4.5235,4.3994,2.2634
88,327,6.9167,6.9167,7.0716,-0.245,190.76,213.2,2.819,6.0183,6.0191,6.1082,2.0599
89,328,4.1781,4.0071,3.9535,-0.308,92.727,145.278,5.3701,3.2928,3.205,3.1772,3.8491
90,329,17.5264,17.5264,14.3738,-0.19399999999999998,16.093,28.656,0.8781,12.389000000000001,12.3952,10.4375,0.1173
91,330,13.03,8.2322,13.0846,-0.34600000000000003,8.927,17.844,1.0028,9.3865,6.0159,8.8336,0.0501
92,331,8.5731,8.5731,8.7773,-0.557,17.593,33.455999999999996,2.0998,5.8052,5.805,5.8702,0.8508
93,333,6.8829,5.6955,5.9998,-0.371,10.64,18.0,2.6056,5.4457,4.6621,4.899,1.7369999999999999
94,335,9.1775,9.1775,9.6593,-0.196,9.28,23.3,0.6013,6.6362,6.6352,7.2587,0.2967
95,336,6.9163,6.9163,7.0954,-0.244,193.02,213.3,2.8484,5.9934,5.9944,6.1009,2.0665
96,337,6.9151,6.9151,7.1328,-0.245,190.653,213.28900000000002,3.0232,6.0084,6.0093,6.1497,2.273
97,338,9.3969,9.3713,9.1898,-0.561,17.273,32.656,1.9644,5.756,5.7621,5.7621,0.6249
98,339,4.6336,4.6418,4.5124,-0.885,10.933,22.789,4.4812,3.4156,3.4195,3.3554,2.6819
99,342,4.2258,4.2258,4.2258,-1.271,8.92,16.667,2.213,3.4074,3.4055,3.4157,0.9828
100,344,5.869,5.5989,5.4741,-1.082,11.6,24.033,4.1834,4.5582,4.3623,4.1917,3.2179
101,346,14.0912,14.0912,14.0912,-1.035,39.2,47.533,0.8975,9.1602,9.1574,9.1618,0.134
102,347,6.0898,6.0898,6.5808,-0.145,11.307,24.078000000000003,3.1455,4.0669,4.0683,4.3601,1.6466
103,349,5.8862,5.0809,6.4641,-0.319,5.5729999999999995,11.456,2.9362,4.6809,4.1475,4.9644,1.8893
104,350,15.1034,15.1034,15.1034,-0.48100000000000004,22.4,32.233000000000004,1.1056,10.495,10.495,10.495,0.5333
105,351,6.6705,6.6705,6.5081,-0.223,5.767,18.477999999999998,1.8489,4.6688,4.669,4.6016,0.9275
